Time,Left_Y_Force,Right_Y_Force,Internal_Stress,Joint_Accel_Norm,K_Scale,D_Scale
0.05575227737426758,0.0,0.0,0.0,0.0,100.0,100.0
0.1057429313659668,0.0,0.0,0.0,8.978246302574893e-08,100.0,100.0
0.15574216842651367,0.0,0.0,0.0,0.0,100.0,100.0
0.20578575134277344,0.0,0.0,0.0,9.750442067597546e-08,100.0,100.0
0.25569987297058105,0.0,0.0,0.0,0.0,100.0,100.0
0.30575060844421387,0.0,0.0,0.0,9.610790890978059e-08,100.0,100.0
0.35579633712768555,0.0,0.0,0.0,1.465193263109301e-07,100.0,100.0
0.40569496154785156,0.0,0.0,0.0,8.269099534475481e-08,100.0,100.0
0.4556763172149658,0.0,0.0,0.0,1.0196241635189581e-07,100.0,100.0
0.5057163238525391,0.0,0.0,0.0,9.987220356341388e-08,100.0,100.0
0.5556776523590088,0.0,0.0,0.0,0.0,100.0,100.0
0.6057217121124268,0.0,0.0,0.0,8.738650351751063e-08,100.0,100.0
0.6558136940002441,0.0,0.0,0.0,1.1276906966818923e-07,100.0,100.0
0.705763578414917,0.0,0.0,0.0,7.680276478943154e-08,100.0,100.0
0.7556829452514648,0.0,0.0,0.0,0.0,100.0,100.0
0.8057501316070557,0.0,0.0,0.0,7.122559801789899e-08,100.0,100.0
0.8557205200195312,0.0,0.0,0.0,0.0,100.0,100.0
0.9056961536407471,0.0,0.0,0.0,7.966674471712636e-08,100.0,100.0
0.9557983875274658,0.0,0.0,0.0,1.1106234109712182e-07,100.0,100.0
1.0055904388427734,1.1768547295269014e-09,1.1768547295267397e-09,1.1768547295268205e-09,7.000676149314322e-08,99.9999999999999,100.00000000000009
1.0556442737579346,1.1132197802374607e-09,1.1132198912597867e-09,1.1132198357486237e-09,6.897614708814987e-08,99.9999999999999,100.00000000000009
1.1055729389190674,1.051923471237011e-09,1.0519234157258587e-09,1.0519234434814347e-09,6.800110913649033e-08,99.9999999999999,100.00000000000009
1.1556742191314697,9.975217499181708e-10,9.975217499181654e-10,9.97521749918168e-10,6.703990466072611e-08,99.9999999999999,100.00000000000009
1.2056667804718018,9.382536733386858e-10,9.38253506805256e-10,9.38253590071971e-10,6.601399794536108e-08,99.9999999999999,100.00000000000009
1.2557265758514404,8.855780624444368e-10,8.85578062444453e-10,8.855780624444449e-10,6.508100387289576e-08,99.9999999999999,100.00000000000009
1.305598497390747,8.285692268867469e-10,8.285692823979315e-10,8.285692546423392e-10,6.40471956282935e-08,99.9999999999999,100.00000000000009
1.355595588684082,7.838270642815782e-10,7.838270642822472e-10,7.838270642819128e-10,6.321704319701133e-08,99.9999999999999,100.00000000000009
1.4070837497711182,7.290208551333091e-10,7.290209661556513e-10,7.290209106444801e-10,6.21760828809994e-08,99.9999999999999,100.00000000000009
1.4556643962860107,6.83891069850439e-10,6.838910143393354e-10,6.838910420948872e-10,6.129754539877245e-08,99.9999999999999,100.00000000000009
1.505711317062378,6.38632399446985e-10,6.368625147153375e-10,6.377474570811613e-10,6.035983756654442e-08,99.9999999999999,100.00000000000009
1.5556614398956299,5.951058233679599e-10,5.951059343902373e-10,5.951058788790986e-10,5.950705377028898e-08,99.9999999999999,100.00000000000009
1.605623722076416,5.53248481819242e-10,5.532488148862579e-10,5.5324864835275e-10,5.8631586077363244e-08,99.9999999999999,100.00000000000009
1.6556875705718994,5.114273609101182e-10,5.114273053990254e-10,5.114273331545718e-10,5.77348087485099e-08,99.9999999999999,100.00000000000009
