Time,Left_Y_Force,Right_Y_Force,Internal_Stress,Joint_Accel_Norm,K_Scale,D_Scale
0.05463695526123047,0.0,0.0,0.0,2.016079927368761e-07,100.0,100.0
0.10458040237426758,0.0,0.0,0.0,0.0,100.0,100.0
0.15458035469055176,0.0,0.0,0.0,1.3101981282012258e-07,100.0,100.0
0.2046043872833252,0.0,0.0,0.0,0.0,100.0,100.0
0.2548551559448242,0.0,0.0,0.0,1.8713552618406896e-07,100.0,100.0
0.3046283721923828,0.0,0.0,0.0,3.339986831556503e-07,100.0,100.0
0.35468173027038574,0.0,0.0,0.0,2.159394152183689e-07,100.0,100.0
0.40465760231018066,0.0,0.0,0.0,6.615963711450565e-07,100.0,100.0
0.4552741050720215,0.0,0.0,0.0,1.7763450250173587e-07,100.0,100.0
0.5046677589416504,0.0,0.0,0.0,0.0,100.0,100.0
0.5548274517059326,0.0,0.0,0.0,1.696794237004472e-07,100.0,100.0
0.6045517921447754,0.0,0.0,0.0,5.267058409524632e-07,100.0,100.0
0.6546454429626465,0.0,0.0,0.0,1.9617135176145982e-07,100.0,100.0
0.7045471668243408,0.0,0.0,0.0,0.0,100.0,100.0
0.7546713352203369,0.0,0.0,0.0,1.878911427919424e-07,100.0,100.0
0.8045830726623535,0.0,0.0,0.0,2.570564147081375e-07,100.0,100.0
0.8546302318572998,0.0,0.0,0.0,1.586300645401724e-07,100.0,100.0
0.9045367240905762,0.0,0.0,0.0,2.903509220978891e-07,100.0,100.0
0.9546530246734619,0.0,0.0,0.0,1.5182641631330637e-07,100.0,100.0
1.004490613937378,1.2280017387959382e-08,1.2280017276936992e-08,1.2280017332448186e-08,1.5737688729988583e-07,100.0,100.0
1.0547852516174316,1.1846286177835486e-08,1.1846286122324269e-08,1.1846286150079878e-08,1.5504310599077616e-07,100.0,100.0
1.104482650756836,1.1443102079993239e-08,1.1443101857948597e-08,1.1443101968970918e-08,1.5283574282202517e-07,100.0,100.0
1.154479742050171,1.1036440840500985e-08,1.1020449915748197e-08,1.1028445378124591e-08,1.5048041316744322e-07,100.0,100.0
1.204671859741211,1.0627488675709896e-08,1.0627488620198755e-08,1.0627488647954325e-08,1.4825041694742628e-07,100.0,100.0
1.2545485496520996,1.0262241660663592e-08,1.0262241494130141e-08,1.0262241577396867e-08,1.461411626397231e-07,100.0,100.0
1.3049166202545166,9.879412860179934e-09,9.893895195724433e-09,9.886654027952183e-09,1.438904632269e-07,100.0,100.0
1.3546316623687744,9.551553232946329e-09,9.551553288457449e-09,9.55155326070189e-09,1.4192876871324667e-07,100.0,100.0
1.4045016765594482,9.19276843645693e-09,9.192768380945768e-09,9.192768408701348e-09,1.3974382398049384e-07,100.0,100.0
1.454556941986084,8.85925593513005e-09,8.85925576859661e-09,8.85925585186333e-09,1.376750521763511e-07,100.0,100.0
1.5045592784881592,8.52395029583668e-09,8.52395035134786e-09,8.52395032359227e-09,1.3555642983054028e-07,100.0,100.0
1.5546953678131104,8.2245647735311e-09,8.22456482904236e-09,8.22456480128673e-09,1.3363008753233785e-07,100.0,100.0
1.6045222282409668,7.922717659130717e-09,7.922717659130728e-09,7.922717659130722e-09,1.3165294541385316e-07,100.0,100.0
1.6546728610992432,7.63076631790187e-09,7.63076642892418e-09,7.630766373413024e-09,1.2970540332550639e-07,100.0,100.0
1.705000638961792,7.3373136031702025e-09,7.337313603170197e-09,7.3373136031702e-09,1.277870136032032e-07,100.0,100.0
1.7545619010925293,7.075344767964676e-09,7.075344767964698e-09,7.075344767964687e-09,1.2589731892568715e-07,100.0,100.0
1.8045001029968262,6.821667371479108e-09,6.8216673714791405e-09,6.821667371479125e-09,1.2410980315752538e-07,100.0,100.0
1.8544731140136719,6.555920660826838e-09,6.555920438782234e-09,6.555920549804536e-09,1.222022729800499e-07,100.0,100.0
1.9046061038970947,6.309007202339641e-09,6.309007424384244e-09,6.3090073133619426e-09,1.2039605936135568e-07,100.0,100.0
1.9546113014221191,6.070266845825337e-09,6.079666080784587e-09,6.074966463304962e-09,1.1868746886570097e-07,100.0,100.0
2.004516363143921,5.839447908056245e-09,5.8394478525451254e-09,5.839447880300685e-09,1.1686414026463744e-07,100.0,100.0
2.054664134979248,5.625078436161957e-09,5.625078436161929e-09,5.6250784361619434e-09,1.1520618184741908e-07,100.0,100.0
2.104513645172119,5.400571394151736e-09,5.392092886086055e-09,5.396332140118896e-09,1.1343685651168627e-07,100.0,100.0
2.1545443534851074,5.200241318070724e-09,5.200241318070709e-09,5.200241318070716e-09,1.1182799070344095e-07,100.0,100.0
2.204439401626587,4.98254964343546e-09,4.982549698946564e-09,4.982549671191013e-09,1.1011103258350428e-07,100.0,100.0
2.2545433044433594,4.7956439341427154e-09,4.795643823120416e-09,4.795643878631566e-09,1.0848520273984216e-07,100.0,100.0
2.3076274394989014,4.622180265220757e-09,4.629609332905718e-09,4.625894799063238e-09,2.0425924189510832e-07,100.0,100.0
2.354764461517334,4.432544449333788e-09,4.432544449333761e-09,4.432544449333774e-09,1.053058281107658e-07,100.0,100.0
2.404569387435913,4.242629700588976e-09,4.242629756100177e-09,4.242629728344577e-09,1.0375156292840754e-07,100.0,100.0
2.4546124935150146,4.079628672645568e-09,4.079628617134443e-09,4.079628644890006e-09,1.0222042194708688e-07,100.0,100.0
2.5045053958892822,3.909005870504941e-09,3.909005926016093e-09,3.909005898260518e-09,1.006522061035242e-07,100.0,100.0
2.554764986038208,3.756847207619822e-09,3.756847096597458e-09,3.75684715210864e-09,9.922614509338918e-08,100.0,100.0
2.6046698093414307,3.6036190640868446e-09,3.597598525134663e-09,3.6006087946107538e-09,9.782044750068765e-08,100.0,100.0
2.6545231342315674,3.4497886665276745e-09,3.4497886110164897e-09,3.449788638772082e-09,9.626301006456722e-08,100.0,100.0
2.7045278549194336,3.3126305777664366e-09,3.31263063327761e-09,3.3126306055220234e-09,9.489960702122201e-08,100.0,100.0
2.7545166015625,3.174544474689847e-09,3.174544530200988e-09,3.1745445024454175e-09,9.350007280861084e-08,100.0,100.0
2.8044986724853516,3.041189482122526e-09,3.0411893711002865e-09,3.0411894266114063e-09,9.212133149030147e-08,100.0,100.0
2.854557991027832,2.907353897098513e-09,2.9073538970985617e-09,2.9073538970985373e-09,9.070914252665481e-08,100.0,100.0
2.904599666595459,2.788064711608206e-09,2.788064822630521e-09,2.7880647671193637e-09,8.942493701809369e-08,100.0,100.0
2.9545772075653076,2.663292951907433e-09,2.66329322946328e-09,2.6632930906853565e-09,8.810668658714542e-08,100.0,100.0
3.004560708999634,2.54755295646019e-09,2.5475526789044236e-09,2.547552817682307e-09,8.675644282275158e-08,100.0,100.0
3.0545096397399902,2.4402142008831906e-09,2.4402141453720327e-09,2.4402141731276116e-09,8.552855998437064e-08,100.0,100.0
3.104444980621338,2.3322216529049137e-09,2.3279804234132883e-09,2.330101038159101e-09,8.421807251328302e-08,100.0,100.0
3.1549746990203857,2.2279910966531265e-09,2.2279910966531046e-09,2.2279910966531154e-09,8.302633451318035e-08,100.0,100.0
3.204477548599243,2.1234566334360314e-09,2.1234566334360587e-09,2.123456633436045e-09,8.175442103949152e-08,100.0,100.0
3.2545645236968994,2.0341624010470538e-09,2.034162401047016e-09,2.034162401047035e-09,8.064560841214707e-08,100.0,100.0
3.304583787918091,1.9330237849638446e-09,1.9330237294527136e-09,1.9330237572082793e-09,7.936324278038133e-08,100.0,100.0
3.3547744750976562,1.8428154584958059e-09,1.8428154584958274e-09,1.8428154584958166e-09,7.819415289620289e-08,100.0,100.0
3.404604911804199,1.7592156786343881e-09,1.7592154565897683e-09,1.7592155676120782e-09,7.70881224653891e-08,100.0,100.0
3.4545199871063232,1.6718621255915945e-09,1.6718622366139423e-09,1.6718621811027685e-09,7.590766536399123e-08,100.0,100.0
3.504486560821533,1.5909198326809867e-09,1.5909198881921443e-09,1.5909198604365656e-09,7.478974590220694e-08,100.0,100.0
3.5546164512634277,1.515935498275408e-09,1.5159356092977449e-09,1.5159355537865765e-09,7.373211175820978e-08,100.0,100.0
3.6045517921447754,1.4405711807474603e-09,1.4405708476804931e-09,1.4405710142139768e-09,7.26463952655945e-08,100.0,100.0
3.6547629833221436,1.3650666968025638e-09,1.3650668078249224e-09,1.3650667523137432e-09,7.15342853281053e-08,100.0,100.0
3.7045681476593018,1.2951406454646015e-09,1.2978884688504834e-09,1.2965145571575425e-09,7.048108062316744e-08,100.0,100.0
3.7545313835144043,1.238362836990694e-09,1.2383627259683196e-09,1.2383627814795069e-09,6.964974842265956e-08,100.0,100.0
3.8049237728118896,1.1653561213913423e-09,1.1653561769025324e-09,1.1653561491469373e-09,6.850239884263575e-08,100.0,100.0
3.8545010089874268,1.1026917696160232e-09,1.102691714104844e-09,1.1026917418604338e-09,6.745400822863986e-08,100.0,100.0
3.90448260307312,1.039952989019633e-09,1.0399531000419429e-09,1.039953044530788e-09,6.642173503730339e-08,100.0,100.0
3.954531192779541,9.841684764370134e-10,9.841684764370187e-10,9.84168476437016e-10,6.54829517976312e-08,100.0,100.0
4.004547834396362,9.281716092709438e-10,9.281718313156337e-10,9.281717202932888e-10,6.451921345870274e-08,100.0,100.0
4.054526329040527,8.721342317776802e-10,8.721341762665333e-10,8.721342040221068e-10,6.353203351738732e-08,100.0,100.0
4.104492902755737,8.223348854473122e-10,8.223349409584591e-10,8.223349132028857e-10,6.263425000078832e-08,100.0,100.0
4.154440641403198,7.723622634987998e-10,7.704038843883272e-10,7.713830739435635e-10,6.171260286085084e-08,100.0,100.0
4.204504728317261,7.223838840308254e-10,7.223841060754505e-10,7.223839950531379e-10,6.07685271535466e-08,100.0,100.0
4.25456428527832,6.77992066660995e-10,6.779921221721958e-10,6.779920944165954e-10,5.990994417323917e-08,100.0,100.0
4.304523229598999,6.317221709667361e-10,6.317219489220786e-10,6.317220599444073e-10,5.8993544159264e-08,100.0,100.0
4.354525089263916,5.889690316786311e-10,5.889690316785664e-10,5.889690316785988e-10,5.8125655629692174e-08,100.0,100.0
4.404438257217407,5.478493107898096e-10,5.478491442562935e-10,5.478492275230515e-10,5.72705811387944e-08,100.0,100.0
4.45470666885376,5.098699684012751e-10,5.098700239124651e-10,5.098699961568701e-10,5.646158558894828e-08,100.0,100.0
4.505096197128296,4.718115372896278e-10,4.718114262645122e-10,4.7181148177707e-10,5.5631072338531494e-08,100.0,100.0
4.554560422897339,4.3522685672012214e-10,4.352270232535572e-10,4.352269399868397e-10,5.4812810796743405e-08,100.0,100.0
4.604494571685791,3.98705325829398e-10,3.9870549236289243e-10,3.987054090961452e-10,5.397463151345301e-08,100.0,100.0
4.65449070930481,3.649983848499054e-10,3.649985513833729e-10,3.649984681166392e-10,5.3180805335668065e-08,100.0,100.0
4.704480171203613,3.3262743398502366e-10,3.3262743398508844e-10,3.326274339850561e-10,5.23986940393342e-08,100.0,100.0
4.754826068878174,3.01548183974842e-10,3.0154829499719504e-10,3.0154823948601853e-10,5.162812472868191e-08,100.0,100.0
4.805041790008545,2.728847469326695e-10,2.728849689772946e-10,2.7288485795498203e-10,5.0989630053886625e-08,100.0,100.0
4.85479211807251,2.4421280256780813e-10,2.44212747052334e-10,2.4421277481007104e-10,5.018032753037293e-08,100.0,100.0
4.904436349868774,2.1670044149498475e-10,2.1670055251708957e-10,2.1670049700603716e-10,4.9413180421281966e-08,100.0,100.0
4.954730987548828,1.9032247788120778e-10,1.89289720959499e-10,1.8980609942035338e-10,4.868662514032087e-08,100.0,100.0
5.004528284072876,1.6502910028772123e-10,1.6404112460069547e-10,1.6453511244420835e-10,4.794237005130758e-08,100.0,100.0
5.054617166519165,1.4078865778020534e-10,1.4078860226902074e-10,1.4078863002461305e-10,4.726549245572894e-08,100.0,100.0
5.104756832122803,1.1665034065408425e-10,1.1665028514288347e-10,1.1665031289848387e-10,4.6570598952297396e-08,100.0,100.0
5.154820442199707,2.1392067315361164e-10,1.9829739860975855e-10,2.061090358816851e-10,4.590401054193723e-08,100.0,100.0
5.204631090164185,6.995988765262804e-11,7.049175168998572e-11,7.022581967130688e-11,4.521266160473117e-08,100.0,100.0
5.254544973373413,5.391635192145527e-11,5.387905687142828e-11,5.3897704396441775e-11,4.4546767558162826e-08,100.0,100.0
5.3044726848602295,3.371289405097487e-11,3.366796762752031e-11,3.369043083924759e-11,4.3865933821697403e-08,100.0,100.0
5.354535102844238,1.6543204776418328e-11,1.6503795405649774e-11,1.6523500091034053e-11,4.327236794364591e-08,100.0,100.0
5.404733896255493,-2.0255818872450824e-12,-2.763558045807506e-12,2.394569966526294e-12,4.2611062075902136e-08,100.0,100.0
5.454526901245117,-1.9072258739802833e-11,-1.9111211664097667e-11,1.9091735201950248e-11,4.1984741712020424e-08,100.0,100.0
5.504604339599609,-3.598787541905209e-11,-3.602455839759502e-11,3.6006216908323554e-11,4.1343159951396554e-08,100.0,100.0
5.554561138153076,-5.0887803036402225e-11,-5.092946713242349e-11,5.090863508441285e-11,4.075965473100019e-08,100.0,100.0
5.6044981479644775,-6.571861430143092e-11,-6.575284093316786e-11,6.57357276172994e-11,4.016059817471873e-08,100.0,100.0
5.6552770137786865,-7.985353220429833e-11,-7.989531729082678e-11,7.987442474756256e-11,3.957036968066584e-08,100.0,100.0
5.704685211181641,-9.33310925653823e-11,-9.389607711738039e-11,9.361358484138134e-11,3.898882901011894e-08,100.0,100.0
5.75447416305542,-1.0666643351757065e-10,-1.0670513415607906e-10,1.0668578383682486e-10,3.839311395067808e-08,100.0,100.0
5.804657936096191,-1.1885926905786524e-10,-1.1889418017757117e-10,1.1887672461771822e-10,3.7828905538871026e-08,100.0,100.0
5.854588508605957,-1.2955109550763048e-10,-1.2958497108691126e-10,1.2956803329727087e-10,3.731717759277275e-08,100.0,100.0
5.904632568359375,-1.4148288968401604e-10,-1.4151631983419494e-10,1.414996047591055e-10,3.672529146862625e-08,100.0,100.0
5.954485654830933,4.3723072317428516e-07,-8.381678020284508e-07,2.0046853942708284e-07,1.096145514829693e-05,100.0,100.0
6.004993677139282,0.002456817273817717,-0.0031910910225889265,0.00036713687438560483,0.16552639670601457,100.0,100.0
6.0545289516448975,0.03120788134307769,-0.041598433032439694,0.005195275844681001,1.4581314766624838,100.0,100.0
6.1045989990234375,0.08233529491329308,-0.028150502850768776,0.027092396031262154,3.2982323829422078,100.0,100.0
6.154587030410767,0.07966524383799045,-0.030274763044038915,0.02469524039697577,3.901396031454957,100.0,100.0
6.204576015472412,0.05652992244699797,-0.04245492649097967,0.0070374979780091496,4.000327129793568,100.0,100.0
6.254521608352661,0.027350232462640747,-0.05784117430328101,0.01524547092032013,4.0510477449909175,100.0,100.0
6.3045454025268555,-0.014775458480288578,-0.07421317083585613,0.044494314658072354,4.079257429661069,100.0,100.0
6.354589223861694,-0.07194733987530869,-0.10369162806354332,0.087819483969426,4.0980664315335265,100.0,100.0
6.404528856277466,-0.14285409437822166,-0.12726635618809756,0.1350602252831596,3.8790670822917472,100.0,100.0
6.454522371292114,-0.23977335152976803,-0.14790507718130352,0.19383921435553578,2.853796513203798,100.0,100.0
6.504583835601807,-0.38664194112673117,-0.17896865990311092,0.28280530051492103,1.7636895085462483,100.0,100.0
6.554497003555298,-0.5195379438211504,-0.20840658463477946,0.3639722642279649,1.11379825861114,100.0,100.0
6.604512929916382,-0.6382174829292359,-0.23785415909752422,0.43803582101338,0.6889838469587493,100.0,100.0
6.6548614501953125,-0.7408813439322756,-0.265162327891729,0.5030218359120022,0.4152657949425795,100.0,100.0
6.704594373703003,-0.817595803060297,-0.2868951814734066,0.5522454922668518,0.26338578867767787,100.0,100.0
6.754482746124268,-0.8839690838229292,-0.3068774146203799,0.5954232492216545,0.16405451528524123,100.0,100.0
6.8045878410339355,-0.9321824758990778,-0.32234349700641957,0.6272629864527487,0.10752403682178466,100.0,100.0
6.854518175125122,-0.9708520879633649,-0.33565631792091943,0.6532542029421422,0.06965624781872866,100.0,100.0
6.904489994049072,-0.999723465701034,-0.346608284484507,0.6731658750927705,0.044274169674833996,100.0,100.0
6.954647541046143,-1.016685780378092,-0.3541357723678321,0.685410776372962,0.029541413136315423,100.0,100.0
7.00465989112854,-1.0245337174892302,-0.3594873664590586,0.6920105419741444,0.01915001428207203,100.0,100.0
7.054588794708252,-1.0213821062230009,-0.3618744267574086,0.6916282664902047,0.021037703841720882,100.0,100.0
7.104488849639893,-1.010747660485449,-0.36028128561641254,0.6855144730509308,0.023703525040011636,100.0,100.0
7.1545329093933105,-0.9900329091429928,-0.3568545326138594,0.6734437208784261,0.020457914067774606,100.0,100.0
7.204470634460449,-0.9627223666863516,-0.35151178688271645,0.657117076784534,0.015515484496663247,100.0,100.0
7.254602670669556,-0.9264943861533088,-0.3434631006548991,0.634978743404104,0.010526537666923953,100.0,100.0
7.3046348094940186,-0.8940715657744709,-0.33570407142852193,0.6148878186014964,0.0,100.0,100.0
7.354552984237671,-0.8330681111551219,-0.3202182038926183,0.5766431575238701,0.0035299022469142353,100.0,100.0
7.404700756072998,-0.7751921166344359,-0.3047813772794258,0.5399867469569308,0.0019403528320473661,100.0,100.0
7.454682350158691,-0.7222756778857371,-0.2901842064664845,0.5062299421761108,0.0016078286179798276,100.0,100.0
7.50472617149353,-0.6508559003220731,-0.269863561425715,0.46035973087389404,0.0016206041569059241,100.0,100.0
7.554547548294067,-0.5870769356032672,-0.2511641511654478,0.41912054338435756,0.0015566668430410605,100.0,100.0
7.604508638381958,-0.5165459119213687,-0.22988474958439215,0.3732153307528804,0.0013970244073900743,100.0,100.0
7.654529571533203,-0.45123886454215534,-0.2095844785069742,0.33041167152456474,0.0012533622660275236,100.0,100.0
7.704518795013428,-0.39215789559791303,-0.19444509531033233,0.29330149545412265,0.14782010068386855,100.0,100.0
7.754508972167969,-0.3910492782662195,-0.22594077433894405,0.30849502630258174,1.27276961148698,100.0,100.0
7.804473400115967,-0.35325582388527554,-0.21953350888329443,0.286394666384285,2.28609761905167,100.0,100.0
7.85449481010437,-0.30868321873573434,-0.20532606524321462,0.2570046419894745,2.941657669360412,100.0,100.0
7.90447998046875,-0.2624719354228887,-0.18531191084350043,0.22389192313319456,3.370279049713126,100.0,100.0
7.95456075668335,-0.2215440812740261,-0.16563245086777237,0.19358826607089924,3.6441471751122565,100.0,100.0
8.004428386688232,-0.18874978232696615,-0.14885178690317047,0.1688007846150683,3.8219421364038677,100.0,100.0
8.054465293884277,-0.16357265305058538,-0.1372488858411357,0.15041076944586054,3.9274670467374175,100.0,100.0
8.104530811309814,-0.147035609208239,-0.12913221065961922,0.1380839099339291,3.920609202485158,100.0,100.0
8.154560804367065,-0.12362945714721961,-0.11084423041992106,0.11723684378357033,3.6527663973631537,100.0,100.0
8.204478025436401,-0.0877422796435364,-0.07236851133261099,0.0800553954880737,2.40449641356111,100.0,100.0
8.254477977752686,-0.07353853003490737,-0.05805173084729911,0.06579513044110324,1.5531290062160836,100.0,100.0
8.304525375366211,-0.06255434507337293,-0.05388575515617129,0.05822005011477211,1.0072834818041685,100.0,100.0
8.354535818099976,-0.05312781815098674,-0.051743649337055844,0.05243573374402129,0.635141072515179,100.0,100.0
8.404521942138672,-0.051763768783225104,-0.048737632152040744,0.05025070046763293,0.39415090903950134,100.0,100.0
8.454555034637451,-0.047307621802725755,-0.043432854316783634,0.045370238059754694,0.1956829524480356,100.0,100.0
8.504566431045532,0.0820524087509909,0.09107882138779463,0.08656561506939277,2.4958531653638443,100.0,100.0
8.554590702056885,0.13619727265689688,0.1298703739480165,0.1330338233024567,3.4139149798510915,100.0,100.0
