index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,38.126000,TRANSPORT,0.020000,0.393,0.465,0.072
2,38.144000,TRANSPORT,0.018000,0.457,0.462,0.005
3,38.166000,TRANSPORT,0.022000,0.000,0.000,0.000
4,38.186000,TRANSPORT,0.020000,0.488,0.448,0.040
5,38.206000,TRANSPORT,0.020000,0.000,0.000,0.000
6,38.226000,TRANSPORT,0.020000,0.641,0.586,0.054
7,38.246000,TRANSPORT,0.020000,0.603,0.549,0.054
8,38.266000,TRANSPORT,0.020000,0.000,0.000,0.000
9,38.286000,TRANSPORT,0.020000,0.580,0.530,0.050
10,38.304000,TRANSPORT,0.018000,0.000,0.000,0.000
11,38.326000,TRANSPORT,0.022000,0.537,0.513,0.025
12,38.346000,TRANSPORT,0.020000,0.530,0.511,0.019
13,38.364000,TRANSPORT,0.018000,0.000,0.000,0.000
14,38.386000,TRANSPORT,0.022000,0.558,0.542,0.016
15,38.406000,TRANSPORT,0.020000,0.000,0.000,0.000
16,38.422000,TRANSPORT,0.016000,0.496,0.497,0.001
17,38.446000,TRANSPORT,0.024000,0.775,0.789,0.014
18,38.466000,TRANSPORT,0.020000,0.000,0.000,0.000
19,38.486000,TRANSPORT,0.020000,0.791,0.798,0.006
20,38.506000,TRANSPORT,0.020000,0.000,0.000,0.000
21,38.526000,TRANSPORT,0.020000,0.876,0.878,0.002
22,38.546000,TRANSPORT,0.020000,1.224,1.229,0.004
23,38.564000,TRANSPORT,0.018000,0.000,0.000,0.000
24,38.584000,TRANSPORT,0.020000,1.407,1.404,0.003
25,38.606000,TRANSPORT,0.022000,0.000,0.000,0.000
26,38.626000,TRANSPORT,0.020000,1.400,1.403,0.003
27,38.644000,TRANSPORT,0.018000,1.442,1.441,0.001
28,38.666000,TRANSPORT,0.022000,0.000,0.000,0.000
29,38.686000,TRANSPORT,0.020000,1.891,1.885,0.006
30,38.706000,TRANSPORT,0.020000,0.000,0.000,0.000
31,38.726000,TRANSPORT,0.020000,1.712,1.693,0.019
32,38.746000,TRANSPORT,0.020000,2.357,2.302,0.055
33,38.766000,TRANSPORT,0.020000,0.000,0.000,0.000
34,38.786000,TRANSPORT,0.020000,2.138,2.085,0.053
35,38.806000,TRANSPORT,0.020000,0.000,0.000,0.000
36,38.826000,TRANSPORT,0.020000,2.260,2.219,0.041
37,38.842000,TRANSPORT,0.016000,1.634,1.604,0.030
38,38.866000,TRANSPORT,0.024000,0.000,0.000,0.000
39,38.884000,TRANSPORT,0.018000,3.576,3.541,0.036
40,38.902000,TRANSPORT,0.018000,0.000,0.000,0.000
41,38.926000,TRANSPORT,0.024000,2.837,2.770,0.067
42,38.944000,TRANSPORT,0.018000,2.633,2.561,0.071
43,38.966000,TRANSPORT,0.022000,0.000,0.000,0.000
44,38.986000,TRANSPORT,0.020000,3.308,3.233,0.074
45,39.004000,TRANSPORT,0.018000,0.000,0.000,0.000
46,39.022000,TRANSPORT,0.018000,3.090,3.013,0.077
47,39.046000,TRANSPORT,0.024000,2.825,2.755,0.070
