index,receive_time_sec,source_stamp_sec,latency_ms
1,24.248000,24.248000,0.000
2,24.250000,24.250000,0.000
3,24.252000,24.252000,0.000
4,24.254000,24.254000,0.000
5,24.256000,24.256000,0.000
6,24.258000,24.258000,0.000
7,24.260000,24.260000,0.000
8,24.262000,24.262000,0.000
9,24.264000,24.264000,0.000
10,24.266000,24.266000,0.000
11,24.268000,24.268000,0.000
12,24.270000,24.270000,0.000
13,24.272000,24.272000,0.000
14,24.274000,24.274000,0.000
15,24.276000,24.276000,0.000
16,24.278000,24.278000,0.000
17,24.280000,24.280000,0.000
18,24.282000,24.282000,0.000
19,24.284000,24.284000,0.000
20,24.286000,24.286000,0.000
21,24.288000,24.288000,0.000
22,24.290000,24.290000,0.000
23,24.292000,24.292000,0.000
24,24.294000,24.294000,0.000
25,24.296000,24.296000,0.000
26,24.298000,24.298000,0.000
27,24.300000,24.300000,0.000
28,24.302000,24.302000,0.000
29,24.304000,24.304000,0.000
30,24.306000,24.306000,0.000
31,24.310000,24.308000,2.000
32,24.310000,24.310000,0.000
33,24.312000,24.312000,0.000
34,24.314000,24.314000,0.000
35,24.316000,24.316000,0.000
36,24.318000,24.318000,0.000
37,24.320000,24.320000,0.000
38,24.322000,24.322000,0.000
39,24.324000,24.324000,0.000
40,24.326000,24.326000,0.000
41,24.328000,24.328000,0.000
42,24.330000,24.330000,0.000
43,24.332000,24.332000,0.000
44,24.334000,24.334000,0.000
45,24.336000,24.336000,0.000
46,24.338000,24.338000,0.000
47,24.340000,24.340000,0.000
48,24.342000,24.342000,0.000
49,24.344000,24.344000,0.000
50,24.348000,24.346000,2.000
51,24.348000,24.348000,0.000
52,24.350000,24.350000,0.000
53,24.352000,24.352000,0.000
54,24.354000,24.354000,0.000
55,24.356000,24.356000,0.000
56,24.358000,24.358000,0.000
57,24.360000,24.360000,0.000
58,24.362000,24.362000,0.000
59,24.364000,24.364000,0.000
60,24.366000,24.366000,0.000
61,24.368000,24.368000,0.000
62,24.370000,24.370000,0.000
63,24.372000,24.372000,0.000
64,24.374000,24.374000,0.000
65,24.376000,24.376000,0.000
66,24.378000,24.378000,0.000
67,24.380000,24.380000,0.000
68,24.382000,24.382000,0.000
69,24.384000,24.384000,0.000
70,24.388000,24.386000,2.000
71,24.388000,24.388000,0.000
72,24.390000,24.390000,0.000
73,24.392000,24.392000,0.000
74,24.394000,24.394000,0.000
75,24.396000,24.396000,0.000
76,24.398000,24.398000,0.000
77,24.400000,24.400000,0.000
78,24.402000,24.402000,0.000
79,24.404000,24.404000,0.000
80,24.408000,24.406000,2.000
81,24.408000,24.408000,0.000
82,24.410000,24.410000,0.000
83,24.412000,24.412000,0.000
84,24.414000,24.414000,0.000
85,24.416000,24.416000,0.000
86,24.418000,24.418000,0.000
87,24.420000,24.420000,0.000
88,24.422000,24.422000,0.000
89,24.424000,24.424000,0.000
90,24.426000,24.426000,0.000
91,24.428000,24.428000,0.000
92,24.430000,24.430000,0.000
93,24.432000,24.432000,0.000
94,24.434000,24.434000,0.000
95,24.436000,24.436000,0.000
96,24.438000,24.438000,0.000
97,24.440000,24.440000,0.000
98,24.442000,24.442000,0.000
99,24.444000,24.444000,0.000
100,24.446000,24.446000,0.000
101,24.448000,24.448000,0.000
102,24.450000,24.450000,0.000
103,24.452000,24.452000,0.000
104,24.454000,24.454000,0.000
105,24.456000,24.456000,0.000
106,24.458000,24.458000,0.000
107,24.460000,24.460000,0.000
108,24.462000,24.462000,0.000
109,24.464000,24.464000,0.000
110,24.466000,24.466000,0.000
111,24.468000,24.468000,0.000
112,24.470000,24.470000,0.000
113,24.472000,24.472000,0.000
114,24.474000,24.474000,0.000
115,24.476000,24.476000,0.000
116,24.478000,24.478000,0.000
117,24.480000,24.480000,0.000
118,24.482000,24.482000,0.000
119,24.484000,24.484000,0.000
120,24.486000,24.486000,0.000
121,24.488000,24.488000,0.000
122,24.490000,24.490000,0.000
123,24.492000,24.492000,0.000
124,24.494000,24.494000,0.000
125,24.496000,24.496000,0.000
126,24.498000,24.498000,0.000
127,24.500000,24.500000,0.000
128,24.502000,24.502000,0.000
129,24.504000,24.504000,0.000
130,24.506000,24.506000,0.000
131,24.508000,24.508000,0.000
132,24.510000,24.510000,0.000
133,24.512000,24.512000,0.000
134,24.514000,24.514000,0.000
135,24.516000,24.516000,0.000
136,24.520000,24.518000,2.000
137,24.520000,24.520000,0.000
138,24.522000,24.522000,0.000
139,24.524000,24.524000,0.000
140,24.526000,24.526000,0.000
141,24.528000,24.528000,0.000
142,24.530000,24.530000,0.000
143,24.532000,24.532000,0.000
144,24.534000,24.534000,0.000
145,24.536000,24.536000,0.000
146,24.538000,24.538000,0.000
147,24.540000,24.540000,0.000
148,24.542000,24.542000,0.000
149,24.544000,24.544000,0.000
150,24.546000,24.546000,0.000
151,24.548000,24.548000,0.000
152,24.550000,24.550000,0.000
153,24.552000,24.552000,0.000
154,24.554000,24.554000,0.000
155,24.556000,24.556000,0.000
156,24.558000,24.558000,0.000
157,24.560000,24.560000,0.000
158,24.562000,24.562000,0.000
159,24.564000,24.564000,0.000
160,24.566000,24.566000,0.000
161,24.568000,24.568000,0.000
162,24.570000,24.570000,0.000
163,24.572000,24.572000,0.000
164,24.574000,24.574000,0.000
165,24.576000,24.576000,0.000
166,24.580000,24.578000,2.000
167,24.580000,24.580000,0.000
168,24.582000,24.582000,0.000
169,24.584000,24.584000,0.000
170,24.588000,24.586000,2.000
171,24.588000,24.588000,0.000
172,24.590000,24.590000,0.000
173,24.592000,24.592000,0.000
174,24.594000,24.594000,0.000
175,24.596000,24.596000,0.000
176,24.598000,24.598000,0.000
177,24.600000,24.600000,0.000
178,24.602000,24.602000,0.000
179,24.604000,24.604000,0.000
180,24.606000,24.606000,0.000
181,24.608000,24.608000,0.000
182,24.610000,24.610000,0.000
183,24.612000,24.612000,0.000
184,24.614000,24.614000,0.000
185,24.616000,24.616000,0.000
186,24.618000,24.618000,0.000
187,24.620000,24.620000,0.000
188,24.622000,24.622000,0.000
189,24.624000,24.624000,0.000
190,24.626000,24.626000,0.000
191,24.628000,24.628000,0.000
192,24.630000,24.630000,0.000
193,24.632000,24.632000,0.000
194,24.636000,24.634000,2.000
195,24.636000,24.636000,0.000
196,24.638000,24.638000,0.000
197,24.640000,24.640000,0.000
198,24.642000,24.642000,0.000
199,24.644000,24.644000,0.000
200,24.646000,24.646000,0.000
201,24.648000,24.648000,0.000
202,24.650000,24.650000,0.000
203,24.652000,24.652000,0.000
204,24.654000,24.654000,0.000
205,24.656000,24.656000,0.000
206,24.658000,24.658000,0.000
207,24.660000,24.660000,0.000
208,24.662000,24.662000,0.000
209,24.664000,24.664000,0.000
210,24.666000,24.666000,0.000
211,24.668000,24.668000,0.000
212,24.670000,24.670000,0.000
213,24.672000,24.672000,0.000
214,24.674000,24.674000,0.000
215,24.676000,24.676000,0.000
216,24.678000,24.678000,0.000
217,24.680000,24.680000,0.000
218,24.682000,24.682000,0.000
219,24.684000,24.684000,0.000
220,24.686000,24.686000,0.000
221,24.688000,24.688000,0.000
222,24.690000,24.690000,0.000
223,24.692000,24.692000,0.000
224,24.694000,24.694000,0.000
225,24.696000,24.696000,0.000
226,24.698000,24.698000,0.000
227,24.700000,24.700000,0.000
228,24.702000,24.702000,0.000
229,24.704000,24.704000,0.000
230,24.706000,24.706000,0.000
231,24.708000,24.708000,0.000
232,24.710000,24.710000,0.000
233,24.712000,24.712000,0.000
234,24.714000,24.714000,0.000
235,24.716000,24.716000,0.000
236,24.718000,24.718000,0.000
237,24.720000,24.720000,0.000
238,24.722000,24.722000,0.000
239,24.724000,24.724000,0.000
240,24.726000,24.726000,0.000
241,24.728000,24.728000,0.000
242,24.730000,24.730000,0.000
243,24.732000,24.732000,0.000
244,24.734000,24.734000,0.000
245,24.736000,24.736000,0.000
246,24.738000,24.738000,0.000
247,24.740000,24.740000,0.000
248,24.742000,24.742000,0.000
249,24.744000,24.744000,0.000
250,24.746000,24.746000,0.000
251,24.748000,24.748000,0.000
252,24.750000,24.750000,0.000
253,24.752000,24.752000,0.000
254,24.754000,24.754000,0.000
255,24.756000,24.756000,0.000
256,24.760000,24.758000,2.000
257,24.762000,24.760000,2.000
258,24.762000,24.762000,0.000
259,24.764000,24.764000,0.000
260,24.766000,24.766000,0.000
261,24.768000,24.768000,0.000
262,24.770000,24.770000,0.000
263,24.772000,24.772000,0.000
264,24.774000,24.774000,0.000
265,24.778000,24.776000,2.000
266,24.778000,24.778000,0.000
267,24.780000,24.780000,0.000
268,24.782000,24.782000,0.000
269,24.784000,24.784000,0.000
270,24.786000,24.786000,0.000
271,24.788000,24.788000,0.000
272,24.790000,24.790000,0.000
273,24.792000,24.792000,0.000
274,24.794000,24.794000,0.000
275,24.796000,24.796000,0.000
276,24.798000,24.798000,0.000
277,24.800000,24.800000,0.000
278,24.802000,24.802000,0.000
279,24.804000,24.804000,0.000
280,24.806000,24.806000,0.000
281,24.808000,24.808000,0.000
282,24.810000,24.810000,0.000
283,24.812000,24.812000,0.000
284,24.814000,24.814000,0.000
285,24.816000,24.816000,0.000
286,24.818000,24.818000,0.000
287,24.820000,24.820000,0.000
288,24.822000,24.822000,0.000
289,24.826000,24.824000,2.000
290,24.828000,24.826000,2.000
291,24.828000,24.828000,0.000
292,24.830000,24.830000,0.000
293,24.832000,24.832000,0.000
294,24.834000,24.834000,0.000
295,24.836000,24.836000,0.000
296,24.838000,24.838000,0.000
297,24.840000,24.840000,0.000
298,24.842000,24.842000,0.000
299,24.844000,24.844000,0.000
300,24.846000,24.846000,0.000
301,24.848000,24.848000,0.000
302,24.850000,24.850000,0.000
303,24.852000,24.852000,0.000
304,24.854000,24.854000,0.000
305,24.856000,24.856000,0.000
306,24.858000,24.858000,0.000
307,24.860000,24.860000,0.000
308,24.862000,24.862000,0.000
309,24.864000,24.864000,0.000
310,24.866000,24.866000,0.000
311,24.868000,24.868000,0.000
312,24.870000,24.870000,0.000
313,24.872000,24.872000,0.000
314,24.874000,24.874000,0.000
315,24.876000,24.876000,0.000
316,24.878000,24.878000,0.000
317,24.880000,24.880000,0.000
318,24.882000,24.882000,0.000
319,24.884000,24.884000,0.000
320,24.886000,24.886000,0.000
321,24.888000,24.888000,0.000
322,24.890000,24.890000,0.000
323,24.892000,24.892000,0.000
324,24.894000,24.894000,0.000
325,24.896000,24.896000,0.000
326,24.898000,24.898000,0.000
327,24.900000,24.900000,0.000
328,24.902000,24.902000,0.000
329,24.904000,24.904000,0.000
330,24.906000,24.906000,0.000
331,24.908000,24.908000,0.000
332,24.910000,24.910000,0.000
333,24.912000,24.912000,0.000
334,24.916000,24.914000,2.000
335,24.916000,24.916000,0.000
336,24.918000,24.918000,0.000
337,24.920000,24.920000,0.000
338,24.924000,24.922000,2.000
339,24.924000,24.924000,0.000
340,24.928000,24.926000,2.000
341,24.928000,24.928000,0.000
342,24.930000,24.930000,0.000
343,24.932000,24.932000,0.000
344,24.934000,24.934000,0.000
345,24.936000,24.936000,0.000
346,24.938000,24.938000,0.000
347,24.940000,24.940000,0.000
348,24.942000,24.942000,0.000
349,24.944000,24.944000,0.000
350,24.946000,24.946000,0.000
351,24.948000,24.948000,0.000
352,24.950000,24.950000,0.000
353,24.952000,24.952000,0.000
354,24.954000,24.954000,0.000
355,24.956000,24.956000,0.000
356,24.958000,24.958000,0.000
357,24.960000,24.960000,0.000
358,24.962000,24.962000,0.000
359,24.964000,24.964000,0.000
360,24.966000,24.966000,0.000
361,24.968000,24.968000,0.000
362,24.970000,24.970000,0.000
363,24.972000,24.972000,0.000
364,24.974000,24.974000,0.000
365,24.976000,24.976000,0.000
366,24.978000,24.978000,0.000
367,24.980000,24.980000,0.000
368,24.982000,24.982000,0.000
369,24.984000,24.984000,0.000
370,24.986000,24.986000,0.000
371,24.988000,24.988000,0.000
372,24.990000,24.990000,0.000
373,24.992000,24.992000,0.000
374,24.994000,24.994000,0.000
375,24.996000,24.996000,0.000
376,24.998000,24.998000,0.000
377,25.000000,25.000000,0.000
378,25.002000,25.002000,0.000
379,25.004000,25.004000,0.000
380,25.006000,25.006000,0.000
381,25.008000,25.008000,0.000
382,25.010000,25.010000,0.000
383,25.012000,25.012000,0.000
384,25.014000,25.014000,0.000
385,25.016000,25.016000,0.000
386,25.018000,25.018000,0.000
387,25.020000,25.020000,0.000
388,25.022000,25.022000,0.000
389,25.024000,25.024000,0.000
390,25.026000,25.026000,0.000
391,25.028000,25.028000,0.000
392,25.030000,25.030000,0.000
393,25.032000,25.032000,0.000
394,25.034000,25.034000,0.000
395,25.036000,25.036000,0.000
396,25.038000,25.038000,0.000
397,25.040000,25.040000,0.000
398,25.042000,25.042000,0.000
399,25.044000,25.044000,0.000
400,25.046000,25.046000,0.000
401,25.048000,25.048000,0.000
402,25.050000,25.050000,0.000
403,25.052000,25.052000,0.000
404,25.056000,25.054000,2.000
405,25.056000,25.056000,0.000
406,25.058000,25.058000,0.000
407,25.060000,25.060000,0.000
408,25.062000,25.062000,0.000
409,25.064000,25.064000,0.000
410,25.066000,25.066000,0.000
411,25.068000,25.068000,0.000
412,25.070000,25.070000,0.000
413,25.072000,25.072000,0.000
414,25.074000,25.074000,0.000
415,25.076000,25.076000,0.000
416,25.078000,25.078000,0.000
417,25.080000,25.080000,0.000
418,25.082000,25.082000,0.000
419,25.084000,25.084000,0.000
420,25.086000,25.086000,0.000
421,25.088000,25.088000,0.000
422,25.090000,25.090000,0.000
423,25.092000,25.092000,0.000
424,25.094000,25.094000,0.000
425,25.096000,25.096000,0.000
426,25.098000,25.098000,0.000
427,25.100000,25.100000,0.000
428,25.102000,25.102000,0.000
429,25.104000,25.104000,0.000
430,25.106000,25.106000,0.000
431,25.108000,25.108000,0.000
432,25.110000,25.110000,0.000
433,25.112000,25.112000,0.000
434,25.114000,25.114000,0.000
435,25.116000,25.116000,0.000
436,25.120000,25.118000,2.000
437,25.120000,25.120000,0.000
438,25.122000,25.122000,0.000
439,25.124000,25.124000,0.000
440,25.126000,25.126000,0.000
441,25.128000,25.128000,0.000
442,25.130000,25.130000,0.000
443,25.132000,25.132000,0.000
444,25.134000,25.134000,0.000
445,25.136000,25.136000,0.000
446,25.138000,25.138000,0.000
447,25.140000,25.140000,0.000
448,25.142000,25.142000,0.000
449,25.144000,25.144000,0.000
450,25.146000,25.146000,0.000
451,25.148000,25.148000,0.000
452,25.150000,25.150000,0.000
453,25.152000,25.152000,0.000
454,25.154000,25.154000,0.000
455,25.156000,25.156000,0.000
456,25.158000,25.158000,0.000
457,25.160000,25.160000,0.000
458,25.162000,25.162000,0.000
459,25.164000,25.164000,0.000
460,25.166000,25.166000,0.000
461,25.168000,25.168000,0.000
462,25.170000,25.170000,0.000
463,25.172000,25.172000,0.000
464,25.174000,25.174000,0.000
465,25.176000,25.176000,0.000
466,25.178000,25.178000,0.000
467,25.180000,25.180000,0.000
468,25.182000,25.182000,0.000
469,25.184000,25.184000,0.000
470,25.186000,25.186000,0.000
471,25.188000,25.188000,0.000
472,25.190000,25.190000,0.000
473,25.192000,25.192000,0.000
474,25.194000,25.194000,0.000
475,25.196000,25.196000,0.000
476,25.198000,25.198000,0.000
477,25.200000,25.200000,0.000
478,25.202000,25.202000,0.000
479,25.204000,25.204000,0.000
480,25.206000,25.206000,0.000
481,25.208000,25.208000,0.000
482,25.210000,25.210000,0.000
483,25.212000,25.212000,0.000
484,25.214000,25.214000,0.000
485,25.216000,25.216000,0.000
486,25.218000,25.218000,0.000
487,25.220000,25.220000,0.000
488,25.222000,25.222000,0.000
489,25.224000,25.224000,0.000
490,25.226000,25.226000,0.000
491,25.228000,25.228000,0.000
492,25.230000,25.230000,0.000
493,25.232000,25.232000,0.000
494,25.234000,25.234000,0.000
495,25.236000,25.236000,0.000
496,25.238000,25.238000,0.000
497,25.240000,25.240000,0.000
498,25.242000,25.242000,0.000
499,25.244000,25.244000,0.000
500,25.246000,25.246000,0.000
501,25.248000,25.248000,0.000
502,25.250000,25.250000,0.000
503,25.254000,25.252000,2.000
504,25.254000,25.254000,0.000
505,25.256000,25.256000,0.000
506,25.258000,25.258000,0.000
507,25.260000,25.260000,0.000
508,25.262000,25.262000,0.000
509,25.264000,25.264000,0.000
510,25.266000,25.266000,0.000
511,25.268000,25.268000,0.000
512,25.270000,25.270000,0.000
513,25.272000,25.272000,0.000
514,25.274000,25.274000,0.000
515,25.276000,25.276000,0.000
516,25.278000,25.278000,0.000
517,25.280000,25.280000,0.000
518,25.282000,25.282000,0.000
519,25.284000,25.284000,0.000
520,25.286000,25.286000,0.000
521,25.294000,25.288000,6.000
522,25.294000,25.294000,0.000
523,25.296000,25.296000,0.000
524,25.298000,25.298000,0.000
525,25.300000,25.300000,0.000
526,25.302000,25.302000,0.000
527,25.304000,25.304000,0.000
528,25.306000,25.306000,0.000
529,25.308000,25.308000,0.000
530,25.310000,25.310000,0.000
531,25.312000,25.312000,0.000
532,25.314000,25.314000,0.000
533,25.316000,25.316000,0.000
534,25.318000,25.318000,0.000
535,25.320000,25.320000,0.000
536,25.322000,25.322000,0.000
537,25.324000,25.324000,0.000
538,25.326000,25.326000,0.000
539,25.328000,25.328000,0.000
540,25.330000,25.330000,0.000
541,25.332000,25.332000,0.000
542,25.334000,25.334000,0.000
543,25.336000,25.336000,0.000
544,25.338000,25.338000,0.000
545,25.340000,25.340000,0.000
546,25.342000,25.342000,0.000
547,25.344000,25.344000,0.000
548,25.346000,25.346000,0.000
549,25.348000,25.348000,0.000
550,25.350000,25.350000,0.000
551,25.352000,25.352000,0.000
552,25.354000,25.354000,0.000
553,25.356000,25.356000,0.000
554,25.358000,25.358000,0.000
555,25.360000,25.360000,0.000
556,25.362000,25.362000,0.000
557,25.364000,25.364000,0.000
558,25.366000,25.366000,0.000
559,25.368000,25.368000,0.000
560,25.370000,25.370000,0.000
561,25.372000,25.372000,0.000
562,25.374000,25.374000,0.000
563,25.376000,25.376000,0.000
564,25.378000,25.378000,0.000
565,25.380000,25.380000,0.000
566,25.382000,25.382000,0.000
567,25.384000,25.384000,0.000
568,25.386000,25.386000,0.000
569,25.388000,25.388000,0.000
570,25.390000,25.390000,0.000
571,25.392000,25.392000,0.000
572,25.394000,25.394000,0.000
573,25.396000,25.396000,0.000
574,25.400000,25.398000,2.000
575,25.400000,25.400000,0.000
576,25.402000,25.402000,0.000
577,25.406000,25.404000,2.000
578,25.406000,25.406000,0.000
579,25.408000,25.408000,0.000
580,25.410000,25.410000,0.000
581,25.412000,25.412000,0.000
582,25.414000,25.414000,0.000
583,25.416000,25.416000,0.000
584,25.418000,25.418000,0.000
585,25.420000,25.420000,0.000
586,25.422000,25.422000,0.000
587,25.424000,25.424000,0.000
588,25.426000,25.426000,0.000
589,25.428000,25.428000,0.000
590,25.432000,25.430000,2.000
591,25.432000,25.432000,0.000
592,25.434000,25.434000,0.000
593,25.436000,25.436000,0.000
594,25.438000,25.438000,0.000
595,25.440000,25.440000,0.000
596,25.442000,25.442000,0.000
597,25.444000,25.444000,0.000
598,25.446000,25.446000,0.000
599,25.448000,25.448000,0.000
600,25.450000,25.450000,0.000
601,25.452000,25.452000,0.000
602,25.454000,25.454000,0.000
603,25.456000,25.456000,0.000
604,25.458000,25.458000,0.000
605,25.460000,25.460000,0.000
606,25.462000,25.462000,0.000
607,25.464000,25.464000,0.000
608,25.466000,25.466000,0.000
609,25.470000,25.468000,2.000
610,25.470000,25.470000,0.000
611,25.472000,25.472000,0.000
612,25.474000,25.474000,0.000
613,25.476000,25.476000,0.000
614,25.478000,25.478000,0.000
615,25.480000,25.480000,0.000
616,25.482000,25.482000,0.000
617,25.484000,25.484000,0.000
618,25.486000,25.486000,0.000
619,25.488000,25.488000,0.000
620,25.490000,25.490000,0.000
621,25.492000,25.492000,0.000
622,25.494000,25.494000,0.000
623,25.496000,25.496000,0.000
624,25.498000,25.498000,0.000
625,25.500000,25.500000,0.000
626,25.502000,25.502000,0.000
627,25.504000,25.504000,0.000
628,25.506000,25.506000,0.000
629,25.508000,25.508000,0.000
630,25.510000,25.510000,0.000
631,25.512000,25.512000,0.000
632,25.514000,25.514000,0.000
633,25.516000,25.516000,0.000
634,25.518000,25.518000,0.000
635,25.520000,25.520000,0.000
636,25.522000,25.522000,0.000
637,25.524000,25.524000,0.000
638,25.526000,25.526000,0.000
639,25.528000,25.528000,0.000
640,25.530000,25.530000,0.000
641,25.532000,25.532000,0.000
642,25.534000,25.534000,0.000
643,25.536000,25.536000,0.000
644,25.538000,25.538000,0.000
645,25.540000,25.540000,0.000
646,25.542000,25.542000,0.000
647,25.544000,25.544000,0.000
648,25.546000,25.546000,0.000
649,25.548000,25.548000,0.000
650,25.550000,25.550000,0.000
651,25.552000,25.552000,0.000
652,25.554000,25.554000,0.000
653,25.556000,25.556000,0.000
654,25.558000,25.558000,0.000
655,25.560000,25.560000,0.000
656,25.562000,25.562000,0.000
657,25.564000,25.564000,0.000
658,25.566000,25.566000,0.000
659,25.568000,25.568000,0.000
660,25.570000,25.570000,0.000
661,25.572000,25.572000,0.000
662,25.576000,25.574000,2.000
663,25.576000,25.576000,0.000
664,25.578000,25.578000,0.000
665,25.580000,25.580000,0.000
666,25.582000,25.582000,0.000
667,25.584000,25.584000,0.000
668,25.586000,25.586000,0.000
669,25.588000,25.588000,0.000
670,25.590000,25.590000,0.000
671,25.592000,25.592000,0.000
672,25.594000,25.594000,0.000
673,25.596000,25.596000,0.000
674,25.598000,25.598000,0.000
675,25.600000,25.600000,0.000
676,25.602000,25.602000,0.000
677,25.604000,25.604000,0.000
678,25.606000,25.606000,0.000
679,25.608000,25.608000,0.000
680,25.610000,25.610000,0.000
681,25.612000,25.612000,0.000
682,25.614000,25.614000,0.000
683,25.616000,25.616000,0.000
684,25.618000,25.618000,0.000
685,25.620000,25.620000,0.000
686,25.622000,25.622000,0.000
687,25.624000,25.624000,0.000
688,25.628000,25.626000,2.000
689,25.628000,25.628000,0.000
690,25.630000,25.630000,0.000
691,25.632000,25.632000,0.000
692,25.634000,25.634000,0.000
693,25.636000,25.636000,0.000
694,25.638000,25.638000,0.000
695,25.640000,25.640000,0.000
696,25.642000,25.642000,0.000
697,25.644000,25.644000,0.000
698,25.646000,25.646000,0.000
699,25.648000,25.648000,0.000
700,25.650000,25.650000,0.000
701,25.652000,25.652000,0.000
702,25.654000,25.654000,0.000
703,25.656000,25.656000,0.000
704,25.658000,25.658000,0.000
705,25.660000,25.660000,0.000
706,25.662000,25.662000,0.000
707,25.664000,25.664000,0.000
708,25.666000,25.666000,0.000
709,25.668000,25.668000,0.000
710,25.670000,25.670000,0.000
