index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,44.724000,TRANSPORT,0.020000,0.288,0.284,0.004
2,44.744000,TRANSPORT,0.020000,0.000,0.000,0.000
3,44.764000,TRANSPORT,0.020000,0.000,0.000,0.000
4,44.784000,TRANSPORT,0.020000,0.178,0.154,0.024
5,44.804000,TRANSPORT,0.020000,0.000,0.000,0.000
6,44.824000,TRANSPORT,0.020000,0.000,0.000,0.000
7,44.844000,TRANSPORT,0.020000,0.117,0.137,0.020
8,44.864000,TRANSPORT,0.020000,0.000,0.000,0.000
9,44.880000,TRANSPORT,0.016000,0.000,0.000,0.000
10,44.904000,TRANSPORT,0.024000,0.000,0.000,0.000
11,44.924000,TRANSPORT,0.020000,0.091,0.099,0.008
12,44.944000,TRANSPORT,0.020000,0.000,0.000,0.000
13,44.960000,TRANSPORT,0.016000,0.000,0.000,0.000
14,44.982000,TRANSPORT,0.022000,0.112,0.099,0.013
15,45.004000,TRANSPORT,0.022000,0.000,0.000,0.000
16,45.024000,TRANSPORT,0.020000,0.000,0.000,0.000
17,45.044000,TRANSPORT,0.020000,0.053,0.080,0.027
18,45.060000,TRANSPORT,0.016000,0.000,0.000,0.000
19,45.084000,TRANSPORT,0.024000,0.000,0.000,0.000
20,45.104000,TRANSPORT,0.020000,0.000,0.000,0.000
21,45.124000,TRANSPORT,0.020000,0.061,0.062,0.001
22,45.142000,TRANSPORT,0.018000,0.000,0.000,0.000
23,45.162000,TRANSPORT,0.020000,0.000,0.000,0.000
24,45.180000,TRANSPORT,0.018000,0.077,0.054,0.023
25,45.202000,TRANSPORT,0.022000,0.000,0.000,0.000
26,45.222000,TRANSPORT,0.020000,0.000,0.000,0.000
27,45.244000,TRANSPORT,0.022000,0.200,0.187,0.013
28,45.258000,TRANSPORT,0.014000,0.000,0.000,0.000
29,45.284000,TRANSPORT,0.026000,0.000,0.000,0.000
30,45.302000,TRANSPORT,0.018000,0.000,0.000,0.000
31,45.324000,TRANSPORT,0.022000,0.828,0.715,0.114
32,45.338000,TRANSPORT,0.014000,0.000,0.000,0.000
33,45.362000,TRANSPORT,0.024000,0.000,0.000,0.000
34,45.384000,TRANSPORT,0.022000,1.063,0.727,0.336
35,45.402000,TRANSPORT,0.018000,0.000,0.000,0.000
36,45.422000,TRANSPORT,0.020000,0.000,0.000,0.000
37,45.442000,TRANSPORT,0.020000,2.312,2.002,0.310
38,45.460000,TRANSPORT,0.018000,0.000,0.000,0.000
39,45.484000,TRANSPORT,0.024000,0.000,0.000,0.000
40,45.502000,TRANSPORT,0.018000,0.000,0.000,0.000
41,45.520000,TRANSPORT,0.018000,4.688,4.408,0.280
42,45.542000,TRANSPORT,0.022000,0.000,0.000,0.000
43,45.562000,TRANSPORT,0.020000,0.000,0.000,0.000
44,45.582000,TRANSPORT,0.020000,6.918,6.671,0.247
45,45.604000,TRANSPORT,0.022000,0.000,0.000,0.000
46,45.624000,TRANSPORT,0.020000,0.000,0.000,0.000
47,45.644000,TRANSPORT,0.020000,9.406,9.087,0.319
48,45.664000,TRANSPORT,0.020000,0.000,0.000,0.000
49,45.684000,TRANSPORT,0.020000,0.000,0.000,0.000
50,45.702000,TRANSPORT,0.018000,0.000,0.000,0.000
51,45.724000,TRANSPORT,0.022000,11.088,10.700,0.388
52,45.740000,TRANSPORT,0.016000,0.000,0.000,0.000
53,45.764000,TRANSPORT,0.024000,0.000,0.000,0.000
54,45.784000,TRANSPORT,0.020000,12.719,12.248,0.470
55,45.804000,TRANSPORT,0.020000,0.000,0.000,0.000
56,45.824000,TRANSPORT,0.020000,0.000,0.000,0.000
57,45.842000,TRANSPORT,0.018000,12.373,11.900,0.474
58,45.864000,TRANSPORT,0.022000,0.000,0.000,0.000
59,45.884000,TRANSPORT,0.020000,0.000,0.000,0.000
60,45.902000,TRANSPORT,0.018000,0.000,0.000,0.000
61,45.924000,TRANSPORT,0.022000,13.070,12.561,0.509
62,45.944000,TRANSPORT,0.020000,0.000,0.000,0.000
63,45.962000,TRANSPORT,0.018000,0.000,0.000,0.000
64,45.984000,TRANSPORT,0.022000,12.763,12.304,0.459
65,46.004000,TRANSPORT,0.020000,0.000,0.000,0.000
66,46.022000,TRANSPORT,0.018000,0.000,0.000,0.000
67,46.044000,TRANSPORT,0.022000,12.041,11.709,0.331
68,46.064000,TRANSPORT,0.020000,0.000,0.000,0.000
69,46.082000,TRANSPORT,0.018000,0.000,0.000,0.000
70,46.104000,TRANSPORT,0.022000,0.000,0.000,0.000
71,46.122000,TRANSPORT,0.018000,11.728,11.575,0.153
72,46.144000,TRANSPORT,0.022000,0.000,0.000,0.000
73,46.164000,TRANSPORT,0.020000,0.000,0.000,0.000
74,46.184000,TRANSPORT,0.020000,11.466,11.552,0.086
75,46.200000,TRANSPORT,0.016000,0.000,0.000,0.000
76,46.224000,TRANSPORT,0.024000,0.000,0.000,0.000
77,46.244000,TRANSPORT,0.020000,11.595,11.987,0.393
78,46.264000,TRANSPORT,0.020000,0.000,0.000,0.000
79,46.284000,TRANSPORT,0.020000,0.000,0.000,0.000
80,46.304000,TRANSPORT,0.020000,0.000,0.000,0.000
81,46.318000,TRANSPORT,0.014000,11.423,12.167,0.745
82,46.342000,TRANSPORT,0.024000,0.000,0.000,0.000
83,46.364000,TRANSPORT,0.022000,0.000,0.000,0.000
84,46.382000,TRANSPORT,0.018000,10.641,11.694,1.053
85,46.404000,TRANSPORT,0.022000,0.000,0.000,0.000
86,46.422000,TRANSPORT,0.018000,0.000,0.000,0.000
87,46.444000,TRANSPORT,0.022000,10.845,12.297,1.452
88,46.462000,TRANSPORT,0.018000,0.000,0.000,0.000
89,46.480000,TRANSPORT,0.018000,0.000,0.000,0.000
90,46.504000,TRANSPORT,0.024000,0.000,0.000,0.000
91,46.522000,TRANSPORT,0.018000,10.987,12.847,1.860
92,46.542000,TRANSPORT,0.020000,0.000,0.000,0.000
93,46.560000,TRANSPORT,0.018000,0.000,0.000,0.000
94,46.580000,TRANSPORT,0.020000,9.273,11.100,1.827
95,46.602000,TRANSPORT,0.022000,0.000,0.000,0.000
