index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,35.358000,TRANSPORT,0.018000,0.000,0.000,0.000
2,35.378000,TRANSPORT,0.020000,0.000,0.000,0.000
3,35.400000,TRANSPORT,0.022000,0.841,0.844,0.003
4,35.420000,TRANSPORT,0.020000,0.000,0.000,0.000
5,35.442000,TRANSPORT,0.022000,0.000,0.000,0.000
6,35.458000,TRANSPORT,0.016000,0.841,0.756,0.085
7,35.478000,TRANSPORT,0.020000,0.000,0.000,0.000
8,35.500000,TRANSPORT,0.022000,0.000,0.000,0.000
9,35.516000,TRANSPORT,0.016000,1.177,1.034,0.142
10,35.540000,TRANSPORT,0.024000,0.000,0.000,0.000
11,35.560000,TRANSPORT,0.020000,0.000,0.000,0.000
12,35.576000,TRANSPORT,0.016000,0.000,0.000,0.000
13,35.598000,TRANSPORT,0.022000,1.108,1.044,0.064
14,35.618000,TRANSPORT,0.020000,0.000,0.000,0.000
15,35.640000,TRANSPORT,0.022000,0.000,0.000,0.000
16,35.658000,TRANSPORT,0.018000,1.041,1.003,0.038
17,35.680000,TRANSPORT,0.022000,0.000,0.000,0.000
18,35.700000,TRANSPORT,0.020000,0.000,0.000,0.000
19,35.718000,TRANSPORT,0.018000,1.633,1.606,0.026
20,35.740000,TRANSPORT,0.022000,0.000,0.000,0.000
21,35.760000,TRANSPORT,0.020000,0.000,0.000,0.000
22,35.780000,TRANSPORT,0.020000,0.000,0.000,0.000
23,35.800000,TRANSPORT,0.020000,2.373,2.301,0.072
24,35.820000,TRANSPORT,0.020000,0.000,0.000,0.000
25,35.842000,TRANSPORT,0.022000,0.000,0.000,0.000
26,35.858000,TRANSPORT,0.016000,3.066,3.028,0.038
27,35.878000,TRANSPORT,0.020000,0.000,0.000,0.000
28,35.900000,TRANSPORT,0.022000,0.000,0.000,0.000
29,35.918000,TRANSPORT,0.018000,3.953,3.817,0.136
30,35.938000,TRANSPORT,0.020000,0.000,0.000,0.000
31,35.962000,TRANSPORT,0.024000,0.000,0.000,0.000
32,35.980000,TRANSPORT,0.018000,0.000,0.000,0.000
33,36.002000,TRANSPORT,0.022000,4.580,4.423,0.156
34,36.018000,TRANSPORT,0.016000,0.000,0.000,0.000
