index,receive_time_sec,source_stamp_sec,latency_ms
1,26.996000,26.996000,0.000
2,27.000000,26.998000,2.000
3,27.000000,27.000000,0.000
4,27.002000,27.002000,0.000
5,27.006000,27.004000,2.000
6,27.008000,27.006000,2.000
7,27.010000,27.008000,2.000
8,27.010000,27.010000,0.000
9,27.014000,27.012000,2.000
10,27.014000,27.014000,0.000
11,27.016000,27.016000,0.000
12,27.020000,27.018000,2.000
13,27.020000,27.020000,0.000
14,27.022000,27.022000,0.000
15,27.026000,27.024000,2.000
16,27.026000,27.026000,0.000
17,27.028000,27.028000,0.000
18,27.030000,27.030000,0.000
19,27.032000,27.032000,0.000
20,27.034000,27.034000,0.000
21,27.036000,27.036000,0.000
22,27.038000,27.038000,0.000
23,27.040000,27.040000,0.000
24,27.042000,27.042000,0.000
25,27.044000,27.044000,0.000
26,27.046000,27.046000,0.000
27,27.048000,27.048000,0.000
28,27.050000,27.050000,0.000
29,27.052000,27.052000,0.000
30,27.054000,27.054000,0.000
31,27.056000,27.056000,0.000
32,27.058000,27.058000,0.000
33,27.060000,27.060000,0.000
34,27.062000,27.062000,0.000
35,27.066000,27.064000,2.000
36,27.066000,27.066000,0.000
37,27.068000,27.068000,0.000
38,27.070000,27.070000,0.000
39,27.072000,27.072000,0.000
40,27.076000,27.074000,2.000
41,27.076000,27.076000,0.000
42,27.078000,27.078000,0.000
43,27.080000,27.080000,0.000
44,27.084000,27.082000,2.000
45,27.084000,27.084000,0.000
46,27.086000,27.086000,0.000
47,27.088000,27.088000,0.000
48,27.090000,27.090000,0.000
49,27.092000,27.092000,0.000
50,27.096000,27.094000,2.000
51,27.096000,27.096000,0.000
52,27.098000,27.098000,0.000
53,27.100000,27.100000,0.000
54,27.102000,27.102000,0.000
55,27.104000,27.104000,0.000
56,27.106000,27.106000,0.000
57,27.108000,27.108000,0.000
58,27.110000,27.110000,0.000
59,27.114000,27.112000,2.000
60,27.114000,27.114000,0.000
61,27.116000,27.116000,0.000
62,27.118000,27.118000,0.000
63,27.120000,27.120000,0.000
64,27.122000,27.122000,0.000
65,27.124000,27.124000,0.000
66,27.128000,27.126000,2.000
67,27.128000,27.128000,0.000
68,27.130000,27.130000,0.000
69,27.132000,27.132000,0.000
70,27.134000,27.134000,0.000
71,27.136000,27.136000,0.000
72,27.138000,27.138000,0.000
73,27.140000,27.140000,0.000
74,27.142000,27.142000,0.000
75,27.146000,27.144000,2.000
76,27.146000,27.146000,0.000
77,27.150000,27.148000,2.000
78,27.150000,27.150000,0.000
79,27.152000,27.152000,0.000
80,27.154000,27.154000,0.000
81,27.156000,27.156000,0.000
82,27.160000,27.158000,2.000
83,27.160000,27.160000,0.000
84,27.162000,27.162000,0.000
85,27.164000,27.164000,0.000
86,27.166000,27.166000,0.000
87,27.168000,27.168000,0.000
88,27.170000,27.170000,0.000
89,27.172000,27.172000,0.000
90,27.174000,27.174000,0.000
91,27.176000,27.176000,0.000
92,27.178000,27.178000,0.000
93,27.180000,27.180000,0.000
94,27.182000,27.182000,0.000
95,27.184000,27.184000,0.000
96,27.186000,27.186000,0.000
97,27.188000,27.188000,0.000
98,27.192000,27.190000,2.000
99,27.192000,27.192000,0.000
100,27.194000,27.194000,0.000
101,27.196000,27.196000,0.000
102,27.198000,27.198000,0.000
103,27.200000,27.200000,0.000
104,27.202000,27.202000,0.000
105,27.204000,27.204000,0.000
106,27.206000,27.206000,0.000
107,27.208000,27.208000,0.000
108,27.210000,27.210000,0.000
109,27.212000,27.212000,0.000
110,27.214000,27.214000,0.000
111,27.216000,27.216000,0.000
112,27.218000,27.218000,0.000
113,27.220000,27.220000,0.000
114,27.222000,27.222000,0.000
115,27.224000,27.224000,0.000
116,27.226000,27.226000,0.000
117,27.230000,27.228000,2.000
118,27.230000,27.230000,0.000
119,27.232000,27.232000,0.000
120,27.234000,27.234000,0.000
121,27.236000,27.236000,0.000
122,27.238000,27.238000,0.000
123,27.240000,27.240000,0.000
124,27.242000,27.242000,0.000
125,27.244000,27.244000,0.000
126,27.246000,27.246000,0.000
127,27.248000,27.248000,0.000
128,27.250000,27.250000,0.000
129,27.252000,27.252000,0.000
130,27.254000,27.254000,0.000
131,27.256000,27.256000,0.000
132,27.258000,27.258000,0.000
133,27.260000,27.260000,0.000
134,27.262000,27.262000,0.000
135,27.264000,27.264000,0.000
136,27.266000,27.266000,0.000
137,27.268000,27.268000,0.000
138,27.272000,27.270000,2.000
139,27.272000,27.272000,0.000
140,27.276000,27.274000,2.000
141,27.276000,27.276000,0.000
142,27.278000,27.278000,0.000
143,27.280000,27.280000,0.000
144,27.282000,27.282000,0.000
145,27.284000,27.284000,0.000
146,27.286000,27.286000,0.000
147,27.288000,27.288000,0.000
148,27.290000,27.290000,0.000
149,27.292000,27.292000,0.000
150,27.294000,27.294000,0.000
151,27.296000,27.296000,0.000
152,27.298000,27.298000,0.000
153,27.302000,27.300000,2.000
154,27.302000,27.302000,0.000
155,27.304000,27.304000,0.000
156,27.306000,27.306000,0.000
157,27.308000,27.308000,0.000
158,27.310000,27.310000,0.000
159,27.312000,27.312000,0.000
160,27.314000,27.314000,0.000
161,27.316000,27.316000,0.000
162,27.318000,27.318000,0.000
163,27.320000,27.320000,0.000
164,27.324000,27.322000,2.000
165,27.324000,27.324000,0.000
166,27.326000,27.326000,0.000
167,27.328000,27.328000,0.000
168,27.330000,27.330000,0.000
169,27.332000,27.332000,0.000
170,27.334000,27.334000,0.000
171,27.336000,27.336000,0.000
172,27.338000,27.338000,0.000
173,27.340000,27.340000,0.000
174,27.342000,27.342000,0.000
175,27.344000,27.344000,0.000
176,27.346000,27.346000,0.000
177,27.348000,27.348000,0.000
178,27.350000,27.350000,0.000
179,27.352000,27.352000,0.000
180,27.354000,27.354000,0.000
181,27.356000,27.356000,0.000
182,27.358000,27.358000,0.000
183,27.360000,27.360000,0.000
184,27.362000,27.362000,0.000
185,27.364000,27.364000,0.000
186,27.366000,27.366000,0.000
187,27.370000,27.368000,2.000
188,27.370000,27.370000,0.000
189,27.372000,27.372000,0.000
190,27.374000,27.374000,0.000
191,27.376000,27.376000,0.000
192,27.378000,27.378000,0.000
193,27.380000,27.380000,0.000
194,27.382000,27.382000,0.000
195,27.384000,27.384000,0.000
196,27.386000,27.386000,0.000
197,27.388000,27.388000,0.000
198,27.390000,27.390000,0.000
199,27.392000,27.392000,0.000
200,27.394000,27.394000,0.000
201,27.396000,27.396000,0.000
202,27.398000,27.398000,0.000
203,27.400000,27.400000,0.000
204,27.402000,27.402000,0.000
205,27.404000,27.404000,0.000
206,27.406000,27.406000,0.000
207,27.408000,27.408000,0.000
208,27.410000,27.410000,0.000
209,27.412000,27.412000,0.000
210,27.414000,27.414000,0.000
211,27.416000,27.416000,0.000
212,27.418000,27.418000,0.000
213,27.420000,27.420000,0.000
214,27.422000,27.422000,0.000
215,27.424000,27.424000,0.000
216,27.426000,27.426000,0.000
217,27.428000,27.428000,0.000
218,27.430000,27.430000,0.000
219,27.432000,27.432000,0.000
220,27.434000,27.434000,0.000
221,27.436000,27.436000,0.000
222,27.438000,27.438000,0.000
223,27.440000,27.440000,0.000
224,27.442000,27.442000,0.000
225,27.444000,27.444000,0.000
226,27.446000,27.446000,0.000
227,27.448000,27.448000,0.000
228,27.450000,27.450000,0.000
229,27.452000,27.452000,0.000
230,27.454000,27.454000,0.000
231,27.456000,27.456000,0.000
232,27.458000,27.458000,0.000
233,27.460000,27.460000,0.000
234,27.462000,27.462000,0.000
235,27.464000,27.464000,0.000
236,27.466000,27.466000,0.000
237,27.468000,27.468000,0.000
238,27.470000,27.470000,0.000
239,27.472000,27.472000,0.000
240,27.474000,27.474000,0.000
241,27.476000,27.476000,0.000
242,27.478000,27.478000,0.000
243,27.482000,27.480000,2.000
244,27.482000,27.482000,0.000
245,27.484000,27.484000,0.000
246,27.486000,27.486000,0.000
247,27.488000,27.488000,0.000
