index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,35.740000,TRANSPORT,0.024000,0.000,0.000,0.000
2,35.762000,TRANSPORT,0.022000,0.770,0.800,0.030
3,35.782000,TRANSPORT,0.020000,0.000,0.000,0.000
4,35.802000,TRANSPORT,0.020000,0.000,0.000,0.000
5,35.822000,TRANSPORT,0.020000,0.000,0.000,0.000
6,35.842000,TRANSPORT,0.020000,0.877,0.776,0.102
7,35.862000,TRANSPORT,0.020000,0.000,0.000,0.000
8,35.880000,TRANSPORT,0.018000,0.000,0.000,0.000
9,35.902000,TRANSPORT,0.022000,1.205,1.005,0.200
10,35.922000,TRANSPORT,0.020000,0.000,0.000,0.000
11,35.942000,TRANSPORT,0.020000,0.000,0.000,0.000
12,35.962000,TRANSPORT,0.020000,0.982,0.913,0.069
13,35.980000,TRANSPORT,0.018000,0.000,0.000,0.000
14,36.000000,TRANSPORT,0.020000,0.000,0.000,0.000
15,36.022000,TRANSPORT,0.022000,0.000,0.000,0.000
16,36.042000,TRANSPORT,0.020000,1.262,1.189,0.073
17,36.056000,TRANSPORT,0.014000,0.000,0.000,0.000
18,36.080000,TRANSPORT,0.024000,0.000,0.000,0.000
19,36.102000,TRANSPORT,0.022000,1.693,1.670,0.023
20,36.122000,TRANSPORT,0.020000,0.000,0.000,0.000
21,36.142000,TRANSPORT,0.020000,0.000,0.000,0.000
22,36.160000,TRANSPORT,0.018000,2.408,2.321,0.087
23,36.182000,TRANSPORT,0.022000,0.000,0.000,0.000
24,36.202000,TRANSPORT,0.020000,0.000,0.000,0.000
25,36.222000,TRANSPORT,0.020000,0.000,0.000,0.000
26,36.240000,TRANSPORT,0.018000,3.204,3.080,0.124
27,36.262000,TRANSPORT,0.022000,0.000,0.000,0.000
28,36.282000,TRANSPORT,0.020000,0.000,0.000,0.000
29,36.302000,TRANSPORT,0.020000,4.078,3.924,0.154
30,36.318000,TRANSPORT,0.016000,0.000,0.000,0.000
31,36.336000,TRANSPORT,0.018000,0.000,0.000,0.000
32,36.362000,TRANSPORT,0.026000,4.649,4.492,0.157
33,36.382000,TRANSPORT,0.020000,0.000,0.000,0.000
34,36.402000,TRANSPORT,0.020000,0.000,0.000,0.000
35,36.422000,TRANSPORT,0.020000,0.000,0.000,0.000
36,36.442000,TRANSPORT,0.020000,5.283,5.130,0.153
37,36.456000,TRANSPORT,0.014000,0.000,0.000,0.000
38,36.480000,TRANSPORT,0.024000,0.000,0.000,0.000
39,36.502000,TRANSPORT,0.022000,6.084,5.980,0.104
40,36.522000,TRANSPORT,0.020000,0.000,0.000,0.000
41,36.542000,TRANSPORT,0.020000,0.000,0.000,0.000
42,36.562000,TRANSPORT,0.020000,6.507,6.493,0.014
43,36.582000,TRANSPORT,0.020000,0.000,0.000,0.000
44,36.602000,TRANSPORT,0.020000,0.000,0.000,0.000
45,36.622000,TRANSPORT,0.020000,0.000,0.000,0.000
46,36.642000,TRANSPORT,0.020000,7.123,7.178,0.055
47,36.658000,TRANSPORT,0.016000,0.000,0.000,0.000
48,36.682000,TRANSPORT,0.024000,0.000,0.000,0.000
49,36.702000,TRANSPORT,0.020000,8.053,8.050,0.002
50,36.720000,TRANSPORT,0.018000,0.000,0.000,0.000
51,36.742000,TRANSPORT,0.022000,0.000,0.000,0.000
52,36.760000,TRANSPORT,0.018000,8.390,8.378,0.011
53,36.782000,TRANSPORT,0.022000,0.000,0.000,0.000
54,36.800000,TRANSPORT,0.018000,0.000,0.000,0.000
55,36.822000,TRANSPORT,0.022000,0.000,0.000,0.000
56,36.842000,TRANSPORT,0.020000,8.774,8.750,0.023
57,36.862000,TRANSPORT,0.020000,0.000,0.000,0.000
58,36.880000,TRANSPORT,0.018000,0.000,0.000,0.000
59,36.898000,TRANSPORT,0.018000,8.643,8.659,0.016
60,36.920000,TRANSPORT,0.022000,0.000,0.000,0.000
61,36.942000,TRANSPORT,0.022000,0.000,0.000,0.000
62,36.962000,TRANSPORT,0.020000,9.286,9.439,0.153
63,36.982000,TRANSPORT,0.020000,0.000,0.000,0.000
64,36.998000,TRANSPORT,0.016000,0.000,0.000,0.000
65,37.022000,TRANSPORT,0.024000,0.000,0.000,0.000
66,37.042000,TRANSPORT,0.020000,8.622,8.713,0.091
67,37.058000,TRANSPORT,0.016000,0.000,0.000,0.000
68,37.082000,TRANSPORT,0.024000,0.000,0.000,0.000
69,37.102000,TRANSPORT,0.020000,8.609,8.473,0.136
70,37.122000,TRANSPORT,0.020000,0.000,0.000,0.000
71,37.140000,TRANSPORT,0.018000,0.000,0.000,0.000
72,37.158000,TRANSPORT,0.018000,8.686,8.631,0.056
73,37.176000,TRANSPORT,0.018000,0.000,0.000,0.000
74,37.200000,TRANSPORT,0.024000,0.000,0.000,0.000
75,37.222000,TRANSPORT,0.022000,0.000,0.000,0.000
76,37.240000,TRANSPORT,0.018000,8.191,8.231,0.040
77,37.262000,TRANSPORT,0.022000,0.000,0.000,0.000
78,37.280000,TRANSPORT,0.018000,0.000,0.000,0.000
79,37.298000,TRANSPORT,0.018000,8.159,8.270,0.111
80,37.318000,TRANSPORT,0.020000,0.000,0.000,0.000
81,37.340000,TRANSPORT,0.022000,0.000,0.000,0.000
82,37.358000,TRANSPORT,0.018000,7.040,7.079,0.039
83,37.382000,TRANSPORT,0.024000,0.000,0.000,0.000
84,37.398000,TRANSPORT,0.016000,0.000,0.000,0.000
85,37.422000,TRANSPORT,0.024000,0.000,0.000,0.000
86,37.438000,TRANSPORT,0.016000,8.262,8.291,0.029
87,37.460000,TRANSPORT,0.022000,0.000,0.000,0.000
88,37.476000,TRANSPORT,0.016000,0.000,0.000,0.000
89,37.500000,TRANSPORT,0.024000,7.352,7.424,0.072
90,37.522000,TRANSPORT,0.022000,0.000,0.000,0.000
91,37.538000,TRANSPORT,0.016000,0.000,0.000,0.000
92,37.562000,TRANSPORT,0.024000,7.388,7.447,0.059
93,37.582000,TRANSPORT,0.020000,0.000,0.000,0.000
94,37.602000,TRANSPORT,0.020000,0.000,0.000,0.000
95,37.622000,TRANSPORT,0.020000,0.000,0.000,0.000
96,37.640000,TRANSPORT,0.018000,7.142,7.253,0.111
97,37.658000,TRANSPORT,0.018000,0.000,0.000,0.000
98,37.682000,TRANSPORT,0.024000,0.000,0.000,0.000
99,37.698000,TRANSPORT,0.016000,6.488,6.643,0.155
100,37.722000,TRANSPORT,0.024000,0.000,0.000,0.000
101,37.742000,TRANSPORT,0.020000,0.000,0.000,0.000
102,37.758000,TRANSPORT,0.016000,6.664,6.844,0.180
103,37.782000,TRANSPORT,0.024000,0.000,0.000,0.000
104,37.800000,TRANSPORT,0.018000,0.000,0.000,0.000
105,37.820000,TRANSPORT,0.020000,0.000,0.000,0.000
106,37.842000,TRANSPORT,0.022000,6.067,6.241,0.174
107,37.862000,TRANSPORT,0.020000,0.000,0.000,0.000
108,37.882000,TRANSPORT,0.020000,0.000,0.000,0.000
109,37.900000,TRANSPORT,0.018000,6.462,6.619,0.157
110,37.920000,TRANSPORT,0.020000,0.000,0.000,0.000
111,37.942000,TRANSPORT,0.022000,0.000,0.000,0.000
112,37.962000,TRANSPORT,0.020000,5.805,6.061,0.257
113,37.982000,TRANSPORT,0.020000,0.000,0.000,0.000
114,38.002000,TRANSPORT,0.020000,0.000,0.000,0.000
115,38.022000,TRANSPORT,0.020000,0.000,0.000,0.000
116,38.042000,TRANSPORT,0.020000,5.408,5.624,0.217
117,38.054000,TRANSPORT,0.012000,0.000,0.000,0.000
118,38.080000,TRANSPORT,0.026000,0.000,0.000,0.000
119,38.102000,TRANSPORT,0.022000,4.835,5.017,0.182
120,38.122000,TRANSPORT,0.020000,0.000,0.000,0.000
121,38.142000,TRANSPORT,0.020000,0.000,0.000,0.000
122,38.156000,TRANSPORT,0.014000,4.099,4.176,0.076
123,38.180000,TRANSPORT,0.024000,0.000,0.000,0.000
124,38.202000,TRANSPORT,0.022000,0.000,0.000,0.000
125,38.222000,TRANSPORT,0.020000,0.000,0.000,0.000
126,38.236000,TRANSPORT,0.014000,3.774,3.796,0.022
127,38.260000,TRANSPORT,0.024000,0.000,0.000,0.000
128,38.280000,TRANSPORT,0.020000,0.000,0.000,0.000
129,38.300000,TRANSPORT,0.020000,2.894,2.947,0.052
130,38.322000,TRANSPORT,0.022000,0.000,0.000,0.000
131,38.342000,TRANSPORT,0.020000,0.000,0.000,0.000
132,38.362000,TRANSPORT,0.020000,2.006,2.089,0.083
133,38.382000,TRANSPORT,0.020000,0.000,0.000,0.000
134,38.400000,TRANSPORT,0.018000,0.000,0.000,0.000
135,38.420000,TRANSPORT,0.020000,0.000,0.000,0.000
136,38.440000,TRANSPORT,0.020000,1.420,1.458,0.038
137,38.462000,TRANSPORT,0.022000,0.000,0.000,0.000
138,38.482000,TRANSPORT,0.020000,0.000,0.000,0.000
139,38.500000,TRANSPORT,0.018000,0.886,0.877,0.009
140,38.522000,TRANSPORT,0.022000,0.000,0.000,0.000
141,38.542000,TRANSPORT,0.020000,0.000,0.000,0.000
142,38.558000,TRANSPORT,0.016000,0.454,0.425,0.029
143,38.582000,TRANSPORT,0.024000,0.000,0.000,0.000
144,38.602000,TRANSPORT,0.020000,0.000,0.000,0.000
145,38.618000,TRANSPORT,0.016000,0.000,0.000,0.000
146,38.640000,TRANSPORT,0.022000,0.260,0.217,0.043
147,38.660000,TRANSPORT,0.020000,0.000,0.000,0.000
148,38.682000,TRANSPORT,0.022000,0.000,0.000,0.000
149,38.702000,TRANSPORT,0.020000,0.198,0.133,0.065
150,38.722000,TRANSPORT,0.020000,0.000,0.000,0.000
151,38.742000,DESCEND,0.020000,0.000,0.000,0.000
152,38.762000,DESCEND,0.020000,0.167,0.101,0.065
153,38.780000,DESCEND,0.018000,0.000,0.000,0.000
154,38.800000,DESCEND,0.020000,0.000,0.000,0.000
155,38.822000,DESCEND,0.022000,0.000,0.000,0.000
156,38.842000,DESCEND,0.020000,0.155,0.083,0.072
157,38.862000,DESCEND,0.020000,0.000,0.000,0.000
158,38.882000,DESCEND,0.020000,0.000,0.000,0.000
159,38.900000,DESCEND,0.018000,0.601,0.574,0.027
160,38.922000,DESCEND,0.022000,0.000,0.000,0.000
161,38.942000,DESCEND,0.020000,0.000,0.000,0.000
162,38.962000,DESCEND,0.020000,1.888,1.761,0.127
163,38.982000,DESCEND,0.020000,0.000,0.000,0.000
164,39.002000,DESCEND,0.020000,0.000,0.000,0.000
165,39.022000,DESCEND,0.020000,0.000,0.000,0.000
166,39.042000,DESCEND,0.020000,2.402,2.249,0.153
167,39.062000,DESCEND,0.020000,0.000,0.000,0.000
168,39.082000,DESCEND,0.020000,0.000,0.000,0.000
169,39.100000,DESCEND,0.018000,2.558,2.402,0.155
170,39.120000,DESCEND,0.020000,0.000,0.000,0.000
171,39.142000,DESCEND,0.022000,0.000,0.000,0.000
172,39.162000,DESCEND,0.020000,2.889,2.774,0.114
173,39.182000,DESCEND,0.020000,0.000,0.000,0.000
174,39.200000,DESCEND,0.018000,0.000,0.000,0.000
175,39.222000,DESCEND,0.022000,0.000,0.000,0.000
176,39.242000,DESCEND,0.020000,3.322,3.254,0.068
177,39.262000,DESCEND,0.020000,0.000,0.000,0.000
178,39.282000,DESCEND,0.020000,0.000,0.000,0.000
179,39.300000,DESCEND,0.018000,3.672,3.659,0.013
180,39.322000,DESCEND,0.022000,0.000,0.000,0.000
181,39.342000,DESCEND,0.020000,0.000,0.000,0.000
182,39.362000,DESCEND,0.020000,4.381,4.408,0.027
183,39.382000,DESCEND,0.020000,0.000,0.000,0.000
184,39.402000,DESCEND,0.020000,0.000,0.000,0.000
185,39.414000,DESCEND,0.012000,0.000,0.000,0.000
186,39.442000,DESCEND,0.028000,5.038,5.096,0.058
187,39.462000,DESCEND,0.020000,0.000,0.000,0.000
188,39.482000,DESCEND,0.020000,0.000,0.000,0.000
189,39.500000,DESCEND,0.018000,6.194,6.258,0.065
190,39.522000,DESCEND,0.022000,0.000,0.000,0.000
