index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,35.018000,TRANSPORT,0.018000,0.000,0.000,0.000
2,35.042000,TRANSPORT,0.024000,0.732,0.969,0.237
3,35.062000,TRANSPORT,0.020000,0.000,0.000,0.000
4,35.080000,TRANSPORT,0.018000,0.000,0.000,0.000
5,35.102000,TRANSPORT,0.022000,0.868,0.802,0.066
6,35.120000,TRANSPORT,0.018000,0.000,0.000,0.000
7,35.142000,TRANSPORT,0.022000,0.000,0.000,0.000
8,35.162000,TRANSPORT,0.020000,0.000,0.000,0.000
9,35.180000,TRANSPORT,0.018000,1.258,1.182,0.077
10,35.200000,TRANSPORT,0.020000,0.000,0.000,0.000
11,35.220000,TRANSPORT,0.020000,0.000,0.000,0.000
12,35.242000,TRANSPORT,0.022000,1.204,1.130,0.074
13,35.262000,TRANSPORT,0.020000,0.000,0.000,0.000
14,35.280000,TRANSPORT,0.018000,0.000,0.000,0.000
15,35.302000,TRANSPORT,0.022000,1.453,1.454,0.002
16,35.322000,TRANSPORT,0.020000,0.000,0.000,0.000
17,35.342000,TRANSPORT,0.020000,0.000,0.000,0.000
18,35.362000,TRANSPORT,0.020000,0.000,0.000,0.000
19,35.380000,TRANSPORT,0.018000,2.244,2.294,0.051
20,35.398000,TRANSPORT,0.018000,0.000,0.000,0.000
21,35.420000,TRANSPORT,0.022000,0.000,0.000,0.000
22,35.442000,TRANSPORT,0.022000,3.053,3.075,0.022
23,35.460000,TRANSPORT,0.018000,0.000,0.000,0.000
24,35.482000,TRANSPORT,0.022000,0.000,0.000,0.000
25,35.502000,TRANSPORT,0.020000,4.293,4.267,0.026
26,35.520000,TRANSPORT,0.018000,0.000,0.000,0.000
27,35.540000,TRANSPORT,0.020000,0.000,0.000,0.000
28,35.562000,TRANSPORT,0.022000,0.000,0.000,0.000
29,35.580000,TRANSPORT,0.018000,5.378,5.231,0.147
30,35.600000,TRANSPORT,0.020000,0.000,0.000,0.000
31,35.622000,TRANSPORT,0.022000,0.000,0.000,0.000
32,35.642000,TRANSPORT,0.020000,6.034,5.834,0.200
33,35.660000,TRANSPORT,0.018000,0.000,0.000,0.000
34,35.682000,TRANSPORT,0.022000,0.000,0.000,0.000
35,35.702000,TRANSPORT,0.020000,7.100,6.918,0.182
36,35.720000,TRANSPORT,0.018000,0.000,0.000,0.000
37,35.740000,TRANSPORT,0.020000,0.000,0.000,0.000
38,35.762000,TRANSPORT,0.022000,0.000,0.000,0.000
39,35.782000,TRANSPORT,0.020000,8.469,8.327,0.142
40,35.800000,TRANSPORT,0.018000,0.000,0.000,0.000
41,35.816000,TRANSPORT,0.016000,0.000,0.000,0.000
42,35.842000,TRANSPORT,0.026000,8.863,8.775,0.088
43,35.860000,TRANSPORT,0.018000,0.000,0.000,0.000
44,35.882000,TRANSPORT,0.022000,0.000,0.000,0.000
45,35.900000,TRANSPORT,0.018000,9.858,9.798,0.061
46,35.922000,TRANSPORT,0.022000,0.000,0.000,0.000
47,35.942000,TRANSPORT,0.020000,0.000,0.000,0.000
48,35.962000,TRANSPORT,0.020000,0.000,0.000,0.000
49,35.982000,TRANSPORT,0.020000,10.056,10.005,0.051
50,36.002000,TRANSPORT,0.020000,0.000,0.000,0.000
51,36.020000,TRANSPORT,0.018000,0.000,0.000,0.000
52,36.042000,TRANSPORT,0.022000,10.152,10.103,0.049
53,36.060000,TRANSPORT,0.018000,0.000,0.000,0.000
54,36.080000,TRANSPORT,0.020000,0.000,0.000,0.000
55,36.102000,TRANSPORT,0.022000,10.094,10.109,0.014
56,36.122000,TRANSPORT,0.020000,0.000,0.000,0.000
57,36.138000,TRANSPORT,0.016000,0.000,0.000,0.000
58,36.160000,TRANSPORT,0.022000,0.000,0.000,0.000
59,36.182000,TRANSPORT,0.022000,8.817,8.913,0.096
60,36.202000,TRANSPORT,0.020000,0.000,0.000,0.000
61,36.222000,TRANSPORT,0.020000,0.000,0.000,0.000
62,36.242000,TRANSPORT,0.020000,8.470,8.643,0.174
63,36.260000,TRANSPORT,0.018000,0.000,0.000,0.000
64,36.282000,TRANSPORT,0.022000,0.000,0.000,0.000
65,36.302000,TRANSPORT,0.020000,7.430,7.343,0.088
66,36.322000,TRANSPORT,0.020000,0.000,0.000,0.000
67,36.342000,TRANSPORT,0.020000,0.000,0.000,0.000
68,36.360000,TRANSPORT,0.018000,0.000,0.000,0.000
69,36.382000,TRANSPORT,0.022000,6.306,6.465,0.159
70,36.400000,TRANSPORT,0.018000,0.000,0.000,0.000
71,36.420000,TRANSPORT,0.020000,0.000,0.000,0.000
72,36.442000,TRANSPORT,0.022000,5.101,5.145,0.043
73,36.460000,TRANSPORT,0.018000,0.000,0.000,0.000
74,36.480000,TRANSPORT,0.020000,0.000,0.000,0.000
75,36.502000,TRANSPORT,0.022000,4.330,4.410,0.081
76,36.514000,TRANSPORT,0.012000,0.000,0.000,0.000
77,36.540000,TRANSPORT,0.026000,0.000,0.000,0.000
78,36.558000,TRANSPORT,0.018000,0.000,0.000,0.000
79,36.580000,TRANSPORT,0.022000,2.818,2.868,0.050
80,36.602000,TRANSPORT,0.022000,0.000,0.000,0.000
81,36.620000,TRANSPORT,0.018000,0.000,0.000,0.000
82,36.642000,TRANSPORT,0.022000,1.822,1.913,0.091
83,36.662000,TRANSPORT,0.020000,0.000,0.000,0.000
84,36.680000,TRANSPORT,0.018000,0.000,0.000,0.000
85,36.702000,TRANSPORT,0.022000,0.897,0.963,0.066
86,36.720000,TRANSPORT,0.018000,0.000,0.000,0.000
87,36.742000,TRANSPORT,0.022000,0.000,0.000,0.000
88,36.760000,TRANSPORT,0.018000,0.000,0.000,0.000
89,36.782000,TRANSPORT,0.022000,0.417,0.490,0.073
90,36.800000,TRANSPORT,0.018000,0.000,0.000,0.000
91,36.816000,ROTATE,0.016000,0.000,0.000,0.000
92,36.840000,ROTATE,0.024000,0.287,0.332,0.046
93,36.862000,ROTATE,0.022000,0.000,0.000,0.000
94,36.880000,ROTATE,0.018000,0.000,0.000,0.000
95,36.900000,ROTATE,0.020000,0.262,0.272,0.010
96,36.922000,ROTATE,0.022000,0.000,0.000,0.000
97,36.942000,ROTATE,0.020000,0.000,0.000,0.000
98,36.962000,ROTATE,0.020000,0.000,0.000,0.000
99,36.982000,ROTATE,0.020000,0.148,0.211,0.063
100,37.000000,ROTATE,0.018000,0.000,0.000,0.000
101,37.020000,ROTATE,0.020000,0.000,0.000,0.000
102,37.040000,ROTATE,0.020000,1.086,0.988,0.098
103,37.062000,ROTATE,0.022000,0.000,0.000,0.000
104,37.082000,ROTATE,0.020000,0.000,0.000,0.000
105,37.102000,ROTATE,0.020000,1.739,1.572,0.167
106,37.122000,ROTATE,0.020000,0.000,0.000,0.000
107,37.140000,ROTATE,0.018000,0.000,0.000,0.000
108,37.162000,ROTATE,0.022000,0.000,0.000,0.000
109,37.182000,ROTATE,0.020000,1.616,1.427,0.189
110,37.202000,ROTATE,0.020000,0.000,0.000,0.000
111,37.220000,ROTATE,0.018000,0.000,0.000,0.000
112,37.240000,ROTATE,0.020000,1.370,1.128,0.242
113,37.262000,ROTATE,0.022000,0.000,0.000,0.000
114,37.282000,ROTATE,0.020000,0.000,0.000,0.000
115,37.302000,ROTATE,0.020000,1.154,0.903,0.252
116,37.322000,ROTATE,0.020000,0.000,0.000,0.000
117,37.340000,ROTATE,0.018000,0.000,0.000,0.000
118,37.360000,ROTATE,0.020000,0.000,0.000,0.000
119,37.382000,ROTATE,0.022000,0.978,0.779,0.199
120,37.402000,ROTATE,0.020000,0.000,0.000,0.000
121,37.422000,ROTATE,0.020000,0.000,0.000,0.000
122,37.438000,ROTATE,0.016000,0.936,0.835,0.101
123,37.460000,ROTATE,0.022000,0.000,0.000,0.000
124,37.478000,ROTATE,0.018000,0.000,0.000,0.000
125,37.502000,ROTATE,0.024000,1.059,1.036,0.023
126,37.522000,ROTATE,0.020000,0.000,0.000,0.000
127,37.542000,ROTATE,0.020000,0.000,0.000,0.000
128,37.562000,ROTATE,0.020000,0.000,0.000,0.000
129,37.582000,ROTATE,0.020000,1.111,1.125,0.014
130,37.602000,ROTATE,0.020000,0.000,0.000,0.000
131,37.622000,ROTATE,0.020000,0.000,0.000,0.000
132,37.642000,ROTATE,0.020000,1.125,1.139,0.014
133,37.662000,ROTATE,0.020000,0.000,0.000,0.000
134,37.680000,ROTATE,0.018000,0.000,0.000,0.000
135,37.702000,ROTATE,0.022000,1.092,1.094,0.002
136,37.722000,ROTATE,0.020000,0.000,0.000,0.000
137,37.742000,ROTATE,0.020000,0.000,0.000,0.000
138,37.762000,ROTATE,0.020000,0.000,0.000,0.000
139,37.780000,ROTATE,0.018000,1.298,1.288,0.010
140,37.800000,ROTATE,0.020000,0.000,0.000,0.000
141,37.820000,ROTATE,0.020000,0.000,0.000,0.000
142,37.842000,ROTATE,0.022000,1.135,1.117,0.018
143,37.862000,ROTATE,0.020000,0.000,0.000,0.000
144,37.882000,ROTATE,0.020000,0.000,0.000,0.000
145,37.900000,ROTATE,0.018000,1.293,1.269,0.024
146,37.920000,ROTATE,0.020000,0.000,0.000,0.000
147,37.942000,ROTATE,0.022000,0.000,0.000,0.000
148,37.960000,ROTATE,0.018000,0.000,0.000,0.000
149,37.982000,ROTATE,0.022000,1.276,1.276,0.000
150,38.002000,ROTATE,0.020000,0.000,0.000,0.000
151,38.022000,ROTATE,0.020000,0.000,0.000,0.000
152,38.042000,ROTATE,0.020000,1.415,1.383,0.032
153,38.062000,ROTATE,0.020000,0.000,0.000,0.000
154,38.082000,ROTATE,0.020000,0.000,0.000,0.000
155,38.102000,ROTATE,0.020000,1.366,1.297,0.069
156,38.122000,ROTATE,0.020000,0.000,0.000,0.000
157,38.142000,ROTATE,0.020000,0.000,0.000,0.000
158,38.160000,ROTATE,0.018000,0.000,0.000,0.000
159,38.180000,ROTATE,0.020000,1.331,1.266,0.065
160,38.202000,ROTATE,0.022000,0.000,0.000,0.000
161,38.222000,ROTATE,0.020000,0.000,0.000,0.000
162,38.242000,ROTATE,0.020000,1.340,1.294,0.046
163,38.262000,ROTATE,0.020000,0.000,0.000,0.000
164,38.282000,ROTATE,0.020000,0.000,0.000,0.000
165,38.302000,ROTATE,0.020000,1.280,1.253,0.027
166,38.322000,ROTATE,0.020000,0.000,0.000,0.000
167,38.340000,ROTATE,0.018000,0.000,0.000,0.000
168,38.362000,ROTATE,0.022000,0.000,0.000,0.000
169,38.382000,ROTATE,0.020000,1.314,1.291,0.023
170,38.400000,ROTATE,0.018000,0.000,0.000,0.000
171,38.420000,ROTATE,0.020000,0.000,0.000,0.000
172,38.440000,ROTATE,0.020000,1.274,1.251,0.023
173,38.462000,ROTATE,0.022000,0.000,0.000,0.000
174,38.480000,ROTATE,0.018000,0.000,0.000,0.000
175,38.500000,ROTATE,0.020000,1.312,1.295,0.017
176,38.522000,ROTATE,0.022000,0.000,0.000,0.000
