index,receive_time_sec,source_stamp_sec,latency_ms
1,29.110000,29.108000,2.000
2,29.110000,29.110000,0.000
3,29.112000,29.112000,0.000
4,29.114000,29.114000,0.000
5,29.116000,29.116000,0.000
6,29.118000,29.118000,0.000
7,29.120000,29.120000,0.000
8,29.122000,29.122000,0.000
9,29.124000,29.124000,0.000
10,29.126000,29.126000,0.000
11,29.128000,29.128000,0.000
12,29.130000,29.130000,0.000
13,29.132000,29.132000,0.000
14,29.134000,29.134000,0.000
15,29.136000,29.136000,0.000
16,29.138000,29.138000,0.000
17,29.140000,29.140000,0.000
18,29.142000,29.142000,0.000
19,29.144000,29.144000,0.000
20,29.148000,29.146000,2.000
21,29.148000,29.148000,0.000
22,29.150000,29.150000,0.000
23,29.152000,29.152000,0.000
24,29.154000,29.154000,0.000
25,29.156000,29.156000,0.000
26,29.158000,29.158000,0.000
27,29.160000,29.160000,0.000
28,29.164000,29.162000,2.000
29,29.164000,29.164000,0.000
30,29.166000,29.166000,0.000
31,29.168000,29.168000,0.000
32,29.170000,29.170000,0.000
33,29.174000,29.172000,2.000
34,29.174000,29.174000,0.000
35,29.176000,29.176000,0.000
36,29.178000,29.178000,0.000
37,29.180000,29.180000,0.000
38,29.182000,29.182000,0.000
39,29.184000,29.184000,0.000
40,29.186000,29.186000,0.000
41,29.188000,29.188000,0.000
42,29.190000,29.190000,0.000
43,29.192000,29.192000,0.000
44,29.194000,29.194000,0.000
45,29.196000,29.196000,0.000
46,29.198000,29.198000,0.000
47,29.200000,29.200000,0.000
48,29.202000,29.202000,0.000
49,29.204000,29.204000,0.000
50,29.206000,29.206000,0.000
51,29.208000,29.208000,0.000
52,29.210000,29.210000,0.000
53,29.212000,29.212000,0.000
54,29.214000,29.214000,0.000
55,29.216000,29.216000,0.000
56,29.218000,29.218000,0.000
57,29.220000,29.220000,0.000
58,29.222000,29.222000,0.000
59,29.226000,29.224000,2.000
60,29.228000,29.226000,2.000
61,29.230000,29.228000,2.000
62,29.232000,29.230000,2.000
63,29.232000,29.232000,0.000
64,29.234000,29.234000,0.000
65,29.236000,29.236000,0.000
66,29.238000,29.238000,0.000
67,29.240000,29.240000,0.000
68,29.242000,29.242000,0.000
69,29.244000,29.244000,0.000
70,29.246000,29.246000,0.000
71,29.248000,29.248000,0.000
72,29.250000,29.250000,0.000
73,29.252000,29.252000,0.000
74,29.254000,29.254000,0.000
75,29.258000,29.256000,2.000
76,29.260000,29.258000,2.000
77,29.260000,29.260000,0.000
78,29.264000,29.262000,2.000
79,29.264000,29.264000,0.000
80,29.268000,29.266000,2.000
81,29.270000,29.268000,2.000
82,29.270000,29.270000,0.000
83,29.272000,29.272000,0.000
84,29.274000,29.274000,0.000
85,29.276000,29.276000,0.000
86,29.278000,29.278000,0.000
87,29.280000,29.280000,0.000
88,29.282000,29.282000,0.000
89,29.286000,29.284000,2.000
90,29.286000,29.286000,0.000
91,29.288000,29.288000,0.000
92,29.292000,29.290000,2.000
93,29.294000,29.292000,2.000
94,29.294000,29.294000,0.000
95,29.298000,29.296000,2.000
96,29.298000,29.298000,0.000
97,29.300000,29.300000,0.000
98,29.304000,29.302000,2.000
99,29.304000,29.304000,0.000
100,29.306000,29.306000,0.000
101,29.308000,29.308000,0.000
102,29.310000,29.310000,0.000
103,29.312000,29.312000,0.000
104,29.314000,29.314000,0.000
105,29.316000,29.316000,0.000
106,29.318000,29.318000,0.000
107,29.320000,29.320000,0.000
108,29.322000,29.322000,0.000
109,29.324000,29.324000,0.000
110,29.326000,29.326000,0.000
111,29.330000,29.328000,2.000
112,29.332000,29.330000,2.000
113,29.332000,29.332000,0.000
114,29.334000,29.334000,0.000
115,29.336000,29.336000,0.000
116,29.338000,29.338000,0.000
117,29.340000,29.340000,0.000
118,29.342000,29.342000,0.000
119,29.344000,29.344000,0.000
120,29.346000,29.346000,0.000
121,29.348000,29.348000,0.000
122,29.350000,29.350000,0.000
123,29.352000,29.352000,0.000
124,29.354000,29.354000,0.000
125,29.356000,29.356000,0.000
126,29.358000,29.358000,0.000
127,29.360000,29.360000,0.000
128,29.362000,29.362000,0.000
129,29.364000,29.364000,0.000
130,29.366000,29.366000,0.000
131,29.368000,29.368000,0.000
132,29.370000,29.370000,0.000
133,29.372000,29.372000,0.000
134,29.374000,29.374000,0.000
135,29.376000,29.376000,0.000
136,29.378000,29.378000,0.000
137,29.380000,29.380000,0.000
138,29.382000,29.382000,0.000
139,29.384000,29.384000,0.000
140,29.386000,29.386000,0.000
141,29.388000,29.388000,0.000
142,29.390000,29.390000,0.000
143,29.394000,29.392000,2.000
144,29.394000,29.394000,0.000
145,29.398000,29.396000,2.000
146,29.398000,29.398000,0.000
147,29.400000,29.400000,0.000
148,29.404000,29.402000,2.000
149,29.404000,29.404000,0.000
150,29.408000,29.406000,2.000
151,29.408000,29.408000,0.000
152,29.410000,29.410000,0.000
153,29.412000,29.412000,0.000
154,29.414000,29.414000,0.000
155,29.418000,29.416000,2.000
156,29.418000,29.418000,0.000
157,29.420000,29.420000,0.000
158,29.422000,29.422000,0.000
159,29.424000,29.424000,0.000
160,29.426000,29.426000,0.000
161,29.430000,29.428000,2.000
162,29.432000,29.430000,2.000
163,29.432000,29.432000,0.000
164,29.436000,29.434000,2.000
165,29.436000,29.436000,0.000
166,29.438000,29.438000,0.000
167,29.440000,29.440000,0.000
168,29.442000,29.442000,0.000
169,29.444000,29.444000,0.000
170,29.446000,29.446000,0.000
171,29.448000,29.448000,0.000
172,29.450000,29.450000,0.000
173,29.452000,29.452000,0.000
174,29.454000,29.454000,0.000
175,29.460000,29.456000,4.000
176,29.460000,29.458000,2.000
177,29.460000,29.460000,0.000
178,29.462000,29.462000,0.000
179,29.464000,29.464000,0.000
180,29.466000,29.466000,0.000
181,29.470000,29.468000,2.000
182,29.470000,29.470000,0.000
183,29.472000,29.472000,0.000
184,29.474000,29.474000,0.000
185,29.476000,29.476000,0.000
186,29.478000,29.478000,0.000
187,29.480000,29.480000,0.000
188,29.484000,29.482000,2.000
189,29.484000,29.484000,0.000
190,29.486000,29.486000,0.000
191,29.488000,29.488000,0.000
192,29.490000,29.490000,0.000
193,29.492000,29.492000,0.000
194,29.494000,29.494000,0.000
195,29.498000,29.496000,2.000
196,29.498000,29.498000,0.000
197,29.500000,29.500000,0.000
198,29.502000,29.502000,0.000
199,29.504000,29.504000,0.000
200,29.506000,29.506000,0.000
201,29.508000,29.508000,0.000
202,29.510000,29.510000,0.000
203,29.512000,29.512000,0.000
204,29.518000,29.514000,4.000
205,29.520000,29.518000,2.000
206,29.520000,29.520000,0.000
207,29.522000,29.522000,0.000
208,29.526000,29.524000,2.000
209,29.528000,29.526000,2.000
210,29.528000,29.528000,0.000
211,29.530000,29.530000,0.000
212,29.532000,29.532000,0.000
213,29.536000,29.534000,2.000
214,29.538000,29.536000,2.000
215,29.538000,29.538000,0.000
216,29.540000,29.540000,0.000
217,29.542000,29.542000,0.000
218,29.544000,29.544000,0.000
219,29.546000,29.546000,0.000
220,29.550000,29.548000,2.000
221,29.550000,29.550000,0.000
222,29.552000,29.552000,0.000
223,29.554000,29.554000,0.000
224,29.556000,29.556000,0.000
225,29.558000,29.558000,0.000
226,29.560000,29.560000,0.000
