index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,44.200000,TRANSPORT,0.018000,0.000,0.000,0.000
2,44.218000,TRANSPORT,0.018000,0.506,0.473,0.033
3,44.240000,TRANSPORT,0.022000,0.000,0.000,0.000
4,44.262000,TRANSPORT,0.022000,0.000,0.000,0.000
5,44.276000,TRANSPORT,0.014000,0.265,0.262,0.003
6,44.300000,TRANSPORT,0.024000,0.000,0.000,0.000
7,44.320000,TRANSPORT,0.020000,0.000,0.000,0.000
8,44.340000,TRANSPORT,0.020000,0.133,0.123,0.010
9,44.362000,TRANSPORT,0.022000,0.000,0.000,0.000
10,44.380000,TRANSPORT,0.018000,0.000,0.000,0.000
11,44.400000,TRANSPORT,0.020000,0.000,0.000,0.000
12,44.422000,TRANSPORT,0.022000,0.109,0.111,0.002
13,44.440000,TRANSPORT,0.018000,0.000,0.000,0.000
14,44.460000,TRANSPORT,0.020000,0.000,0.000,0.000
15,44.480000,TRANSPORT,0.020000,0.065,0.073,0.007
16,44.502000,TRANSPORT,0.022000,0.000,0.000,0.000
17,44.516000,TRANSPORT,0.014000,0.000,0.000,0.000
18,44.538000,TRANSPORT,0.022000,0.062,0.101,0.039
19,44.562000,TRANSPORT,0.024000,0.000,0.000,0.000
20,44.580000,TRANSPORT,0.018000,0.000,0.000,0.000
21,44.602000,TRANSPORT,0.022000,0.000,0.000,0.000
22,44.620000,TRANSPORT,0.018000,0.053,0.062,0.008
23,44.640000,TRANSPORT,0.020000,0.000,0.000,0.000
24,44.662000,TRANSPORT,0.022000,0.000,0.000,0.000
25,44.678000,TRANSPORT,0.016000,0.077,0.088,0.011
26,44.698000,TRANSPORT,0.020000,0.000,0.000,0.000
27,44.720000,TRANSPORT,0.022000,0.000,0.000,0.000
28,44.740000,TRANSPORT,0.020000,0.716,0.670,0.046
29,44.758000,TRANSPORT,0.018000,0.000,0.000,0.000
30,44.778000,TRANSPORT,0.020000,0.000,0.000,0.000
31,44.800000,TRANSPORT,0.022000,0.000,0.000,0.000
32,44.820000,TRANSPORT,0.020000,1.071,0.772,0.299
33,44.838000,TRANSPORT,0.018000,0.000,0.000,0.000
34,44.860000,TRANSPORT,0.022000,0.000,0.000,0.000
35,44.880000,TRANSPORT,0.020000,1.943,1.577,0.366
36,44.900000,TRANSPORT,0.020000,0.000,0.000,0.000
37,44.920000,TRANSPORT,0.020000,0.000,0.000,0.000
38,44.940000,TRANSPORT,0.020000,3.882,3.616,0.266
39,44.960000,TRANSPORT,0.020000,0.000,0.000,0.000
40,44.976000,TRANSPORT,0.016000,0.000,0.000,0.000
41,45.002000,TRANSPORT,0.026000,0.000,0.000,0.000
42,45.022000,TRANSPORT,0.020000,6.530,6.231,0.298
43,45.040000,TRANSPORT,0.018000,0.000,0.000,0.000
44,45.060000,TRANSPORT,0.020000,0.000,0.000,0.000
45,45.080000,TRANSPORT,0.020000,8.567,8.281,0.286
46,45.100000,TRANSPORT,0.020000,0.000,0.000,0.000
47,45.116000,TRANSPORT,0.016000,0.000,0.000,0.000
48,45.142000,TRANSPORT,0.026000,10.951,10.577,0.375
49,45.154000,TRANSPORT,0.012000,0.000,0.000,0.000
50,45.180000,TRANSPORT,0.026000,0.000,0.000,0.000
51,45.198000,TRANSPORT,0.018000,0.000,0.000,0.000
52,45.220000,TRANSPORT,0.022000,12.505,12.051,0.454
53,45.238000,TRANSPORT,0.018000,0.000,0.000,0.000
54,45.258000,TRANSPORT,0.020000,0.000,0.000,0.000
55,45.280000,TRANSPORT,0.022000,12.343,11.873,0.470
56,45.302000,TRANSPORT,0.022000,0.000,0.000,0.000
57,45.320000,TRANSPORT,0.018000,0.000,0.000,0.000
58,45.338000,TRANSPORT,0.018000,13.125,12.617,0.508
59,45.358000,TRANSPORT,0.020000,0.000,0.000,0.000
60,45.380000,TRANSPORT,0.022000,0.000,0.000,0.000
61,45.400000,TRANSPORT,0.020000,0.000,0.000,0.000
62,45.420000,TRANSPORT,0.020000,12.479,12.021,0.458
63,45.440000,TRANSPORT,0.020000,0.000,0.000,0.000
64,45.460000,TRANSPORT,0.020000,0.000,0.000,0.000
65,45.480000,TRANSPORT,0.020000,12.142,11.775,0.367
66,45.496000,TRANSPORT,0.016000,0.000,0.000,0.000
67,45.520000,TRANSPORT,0.024000,0.000,0.000,0.000
68,45.540000,TRANSPORT,0.020000,12.172,11.960,0.213
69,45.560000,TRANSPORT,0.020000,0.000,0.000,0.000
70,45.580000,TRANSPORT,0.020000,0.000,0.000,0.000
71,45.602000,TRANSPORT,0.022000,0.000,0.000,0.000
72,45.616000,TRANSPORT,0.014000,11.534,11.558,0.025
73,45.640000,TRANSPORT,0.024000,0.000,0.000,0.000
74,45.662000,TRANSPORT,0.022000,0.000,0.000,0.000
75,45.678000,TRANSPORT,0.016000,11.312,11.616,0.304
76,45.700000,TRANSPORT,0.022000,0.000,0.000,0.000
77,45.720000,TRANSPORT,0.020000,0.000,0.000,0.000
78,45.740000,TRANSPORT,0.020000,11.471,12.124,0.652
79,45.760000,TRANSPORT,0.020000,0.000,0.000,0.000
80,45.780000,TRANSPORT,0.020000,0.000,0.000,0.000
81,45.800000,TRANSPORT,0.020000,0.000,0.000,0.000
82,45.820000,TRANSPORT,0.020000,11.005,11.995,0.990
83,45.838000,TRANSPORT,0.018000,0.000,0.000,0.000
84,45.858000,TRANSPORT,0.020000,0.000,0.000,0.000
85,45.878000,TRANSPORT,0.020000,10.573,11.885,1.312
86,45.898000,TRANSPORT,0.020000,0.000,0.000,0.000
87,45.920000,TRANSPORT,0.022000,0.000,0.000,0.000
88,45.940000,TRANSPORT,0.020000,11.159,12.939,1.780
89,45.960000,TRANSPORT,0.020000,0.000,0.000,0.000
90,45.980000,TRANSPORT,0.020000,0.000,0.000,0.000
91,45.998000,TRANSPORT,0.018000,0.000,0.000,0.000
92,46.020000,TRANSPORT,0.022000,9.767,11.629,1.862
93,46.038000,TRANSPORT,0.018000,0.000,0.000,0.000
94,46.060000,TRANSPORT,0.022000,0.000,0.000,0.000
95,46.080000,TRANSPORT,0.020000,9.090,10.974,1.885
96,46.100000,TRANSPORT,0.020000,0.000,0.000,0.000
97,46.120000,TRANSPORT,0.020000,0.000,0.000,0.000
98,46.140000,TRANSPORT,0.020000,7.472,9.076,1.604
99,46.162000,TRANSPORT,0.022000,0.000,0.000,0.000
100,46.180000,TRANSPORT,0.018000,0.000,0.000,0.000
101,46.200000,TRANSPORT,0.020000,0.000,0.000,0.000
102,46.218000,TRANSPORT,0.018000,6.529,7.972,1.443
103,46.242000,TRANSPORT,0.024000,0.000,0.000,0.000
104,46.258000,TRANSPORT,0.016000,0.000,0.000,0.000
105,46.282000,TRANSPORT,0.024000,4.786,5.774,0.988
106,46.302000,TRANSPORT,0.020000,0.000,0.000,0.000
107,46.320000,TRANSPORT,0.018000,0.000,0.000,0.000
108,46.342000,TRANSPORT,0.022000,3.214,3.792,0.578
109,46.360000,TRANSPORT,0.018000,0.000,0.000,0.000
110,46.378000,TRANSPORT,0.018000,0.000,0.000,0.000
