index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,39.462000,TRANSPORT,0.024000,0.000,0.000,0.000
2,39.480000,TRANSPORT,0.018000,0.734,0.969,0.235
3,39.502000,TRANSPORT,0.022000,0.000,0.000,0.000
4,39.522000,TRANSPORT,0.020000,0.000,0.000,0.000
5,39.542000,TRANSPORT,0.020000,0.935,0.870,0.065
6,39.564000,TRANSPORT,0.022000,0.000,0.000,0.000
7,39.578000,TRANSPORT,0.014000,0.000,0.000,0.000
8,39.602000,TRANSPORT,0.024000,0.000,0.000,0.000
9,39.622000,TRANSPORT,0.020000,1.233,1.113,0.119
10,39.642000,TRANSPORT,0.020000,0.000,0.000,0.000
11,39.660000,TRANSPORT,0.018000,0.000,0.000,0.000
12,39.680000,TRANSPORT,0.020000,1.090,1.039,0.051
13,39.702000,TRANSPORT,0.022000,0.000,0.000,0.000
14,39.720000,TRANSPORT,0.018000,0.000,0.000,0.000
15,39.742000,TRANSPORT,0.022000,1.072,1.050,0.022
16,39.762000,TRANSPORT,0.020000,0.000,0.000,0.000
17,39.780000,TRANSPORT,0.018000,0.000,0.000,0.000
18,39.802000,TRANSPORT,0.022000,0.000,0.000,0.000
19,39.822000,TRANSPORT,0.020000,1.440,1.317,0.123
20,39.840000,TRANSPORT,0.018000,0.000,0.000,0.000
21,39.860000,TRANSPORT,0.020000,0.000,0.000,0.000
22,39.880000,TRANSPORT,0.020000,2.052,2.011,0.040
23,39.896000,TRANSPORT,0.016000,0.000,0.000,0.000
24,39.918000,TRANSPORT,0.022000,0.000,0.000,0.000
25,39.942000,TRANSPORT,0.024000,2.463,2.490,0.027
26,39.960000,TRANSPORT,0.018000,0.000,0.000,0.000
27,39.978000,TRANSPORT,0.018000,0.000,0.000,0.000
28,39.998000,TRANSPORT,0.020000,0.000,0.000,0.000
29,40.020000,TRANSPORT,0.022000,3.193,3.121,0.072
30,40.040000,TRANSPORT,0.020000,0.000,0.000,0.000
31,40.062000,TRANSPORT,0.022000,0.000,0.000,0.000
32,40.078000,TRANSPORT,0.016000,4.034,3.942,0.091
33,40.100000,TRANSPORT,0.022000,0.000,0.000,0.000
34,40.122000,TRANSPORT,0.022000,0.000,0.000,0.000
35,40.142000,TRANSPORT,0.020000,4.163,4.162,0.001
36,40.160000,TRANSPORT,0.018000,0.000,0.000,0.000
37,40.182000,TRANSPORT,0.022000,0.000,0.000,0.000
38,40.202000,TRANSPORT,0.020000,0.000,0.000,0.000
