index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,35.360000,TRANSPORT,0.020000,0.822,0.818,0.004
2,35.380000,TRANSPORT,0.020000,0.000,0.000,0.000
3,35.400000,TRANSPORT,0.020000,0.000,0.000,0.000
4,35.416000,TRANSPORT,0.016000,0.758,0.654,0.104
5,35.440000,TRANSPORT,0.024000,0.000,0.000,0.000
6,35.460000,TRANSPORT,0.020000,0.000,0.000,0.000
7,35.478000,TRANSPORT,0.018000,0.000,0.000,0.000
8,35.498000,TRANSPORT,0.020000,1.215,1.090,0.125
9,35.520000,TRANSPORT,0.022000,0.000,0.000,0.000
10,35.538000,TRANSPORT,0.018000,0.000,0.000,0.000
11,35.560000,TRANSPORT,0.022000,1.091,0.992,0.100
12,35.578000,TRANSPORT,0.018000,0.000,0.000,0.000
13,35.598000,TRANSPORT,0.020000,0.000,0.000,0.000
14,35.616000,TRANSPORT,0.018000,0.000,0.000,0.000
15,35.636000,TRANSPORT,0.020000,1.056,1.009,0.047
16,35.656000,TRANSPORT,0.020000,0.000,0.000,0.000
17,35.678000,TRANSPORT,0.022000,0.000,0.000,0.000
18,35.698000,TRANSPORT,0.020000,1.463,1.419,0.044
19,35.718000,TRANSPORT,0.020000,0.000,0.000,0.000
20,35.740000,TRANSPORT,0.022000,0.000,0.000,0.000
21,35.758000,TRANSPORT,0.018000,2.033,1.986,0.047
22,35.774000,TRANSPORT,0.016000,0.000,0.000,0.000
23,35.796000,TRANSPORT,0.022000,0.000,0.000,0.000
24,35.818000,TRANSPORT,0.022000,2.808,2.756,0.052
25,35.838000,TRANSPORT,0.020000,0.000,0.000,0.000
26,35.858000,TRANSPORT,0.020000,0.000,0.000,0.000
27,35.880000,TRANSPORT,0.022000,0.000,0.000,0.000
28,35.898000,TRANSPORT,0.018000,3.524,3.480,0.045
29,35.916000,TRANSPORT,0.018000,0.000,0.000,0.000
30,35.938000,TRANSPORT,0.022000,0.000,0.000,0.000
31,35.958000,TRANSPORT,0.020000,4.254,4.162,0.093
32,35.974000,TRANSPORT,0.016000,0.000,0.000,0.000
33,36.000000,TRANSPORT,0.026000,0.000,0.000,0.000
34,36.020000,TRANSPORT,0.020000,5.093,4.977,0.115
35,36.038000,TRANSPORT,0.018000,0.000,0.000,0.000
36,36.060000,TRANSPORT,0.022000,0.000,0.000,0.000
37,36.080000,TRANSPORT,0.020000,0.000,0.000,0.000
38,36.098000,TRANSPORT,0.018000,5.590,5.505,0.085
39,36.118000,TRANSPORT,0.020000,0.000,0.000,0.000
40,36.140000,TRANSPORT,0.022000,0.000,0.000,0.000
41,36.158000,TRANSPORT,0.018000,6.163,6.192,0.028
42,36.178000,TRANSPORT,0.020000,0.000,0.000,0.000
