metric,value
reason,task_status_DONE
latency_topic,/joint_states
target_latency_ms,100
sample_count,13622
min_ms,0
mean_ms,0.407576
std_ms,0.817566
p50_ms,0
p90_ms,2
p95_ms,2
p99_ms,2
max_ms,8
over_target_count,0
over_target_ratio,0
zero_stamp_count,0
invalid_sample_count,0
negative_latency_count,821
clock_not_ready_count,31
