index,receive_time_sec,source_stamp_sec,latency_ms
1,23.538000,23.538000,0.000
2,23.540000,23.540000,0.000
3,23.542000,23.542000,0.000
4,23.544000,23.544000,0.000
5,23.546000,23.546000,0.000
6,23.548000,23.548000,0.000
7,23.550000,23.550000,0.000
8,23.552000,23.552000,0.000
9,23.554000,23.554000,0.000
10,23.556000,23.556000,0.000
11,23.558000,23.558000,0.000
12,23.560000,23.560000,0.000
13,23.562000,23.562000,0.000
14,23.564000,23.564000,0.000
15,23.566000,23.566000,0.000
16,23.568000,23.568000,0.000
17,23.570000,23.570000,0.000
18,23.572000,23.572000,0.000
19,23.576000,23.574000,2.000
20,23.576000,23.576000,0.000
21,23.578000,23.578000,0.000
22,23.580000,23.580000,0.000
23,23.584000,23.582000,2.000
24,23.584000,23.584000,0.000
25,23.586000,23.586000,0.000
26,23.588000,23.588000,0.000
27,23.590000,23.590000,0.000
28,23.592000,23.592000,0.000
29,23.594000,23.594000,0.000
30,23.596000,23.596000,0.000
31,23.598000,23.598000,0.000
32,23.600000,23.600000,0.000
33,23.602000,23.602000,0.000
34,23.604000,23.604000,0.000
35,23.606000,23.606000,0.000
36,23.608000,23.608000,0.000
37,23.610000,23.610000,0.000
38,23.612000,23.612000,0.000
39,23.614000,23.614000,0.000
40,23.616000,23.616000,0.000
41,23.618000,23.618000,0.000
42,23.620000,23.620000,0.000
43,23.622000,23.622000,0.000
44,23.624000,23.624000,0.000
45,23.626000,23.626000,0.000
46,23.628000,23.628000,0.000
47,23.630000,23.630000,0.000
48,23.632000,23.632000,0.000
49,23.634000,23.634000,0.000
50,23.636000,23.636000,0.000
51,23.638000,23.638000,0.000
52,23.640000,23.640000,0.000
53,23.642000,23.642000,0.000
54,23.644000,23.644000,0.000
55,23.646000,23.646000,0.000
56,23.648000,23.648000,0.000
57,23.650000,23.650000,0.000
58,23.652000,23.652000,0.000
59,23.656000,23.654000,2.000
60,23.656000,23.656000,0.000
61,23.658000,23.658000,0.000
62,23.660000,23.660000,0.000
63,23.662000,23.662000,0.000
64,23.664000,23.664000,0.000
65,23.666000,23.666000,0.000
66,23.668000,23.668000,0.000
67,23.670000,23.670000,0.000
68,23.672000,23.672000,0.000
69,23.674000,23.674000,0.000
70,23.678000,23.676000,2.000
71,23.678000,23.678000,0.000
72,23.680000,23.680000,0.000
73,23.684000,23.682000,2.000
